Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
EP1937124,03.07.2008,CONTROL CABINETS FOR FOOD PROCESSING SYSTEMS,"[2006036408 2006-09-20T23:59:59.000Z US, 71925205 2005-09-21T23:59:59.000Z US]",A47J 37/04;A47J 37/12,RESTAURANT TECHNOLOGIES LLC,DUCKWORTH TERRY S;LATHAM S DUANE,NA
CA2623494,06.04.2007,CONTROL CABINETS FOR FOOD PRECESSING SYSTEMS,"[60/719,252 2005-09-21T23:59:59.000Z US]",A47J 37/04;A47J 37/12,"GLOBAL COOKING SYSTEMS, LLC","DUCKWORTH, TERRY S.;LATHAM, S. DUANE",NA
EP1015328,06.07.2000,SEALABLE CARTON,"[9702145 1997-02-03T23:59:59.000Z GB, 9802018 1998-02-03T23:59:59.000Z US]",B65D 5/02;B65D 5/02;B65D 5/20,MEADWESTVACO PACKAGING SYSTEMS,SAULAS ALAIN,NA
CA2449862,28.12.2002,RAPIDLY DISINTEGRATING FLAVORED FILM FOR PRECOOKED FOODS,"[09/884,112 2001-06-19T23:59:59.000Z US]",A61K 47/00;A23L 1/00;A23L 1/0522;A23L 1/0534;A23L 1/09;A23L 1/22;A23P 1/08,"ZERBE, HORST G.;AL-KHALIL, FADIA","ZERBE, HORST G.;AL-KHALIL, FADIA",NA
US4971406,21.11.1990,Telephone order entry system and terminal therefor,NA,G06F 1/18;G06F 1/18;G06F 3/023;G06F 3/023;G06F 15/02;G06F 15/02;G06Q 10/00;G06Q 10/00,HANSON GEORGE E,Hanson George E.,NA
US6048191,12.04.2000,Machine for flattening pastry or dough,[1995MO000042 1995-03-20T23:59:59.000Z IT],B30B 7/00;A21C 11/00;A21C 11/00;A21C 11/00,BELTRAMI; LAURO,Beltrami Lauro,NA
US4971242,21.11.1990,Multiple container assembly,NA,B65D 5/42;B65D 5/42;B65D 5/48;B65D 5/48,Green Bay Packaging Inc.,LaNicca William C.,NA
US20040149098,06.08.2004,Food slicing apparatus for a food processing line,[10357737 2003-02-04T23:59:59.000Z US],B26D 7/06;B26D 7/06;A21C 9/00;A21C 9/04;B26D 1/01;B26D 1/46;B26D 1/48;B26D 1/54;B26D 3/00;B26D 3/28,FREUDINGER MARK J;WHITE DAVID J,Freudinger Mark J.;White David J.,NA
WO2006098646,22.09.2006,AN OVEN,[538946 18.03.2005 NZ],A47J 27/026,"HARDS, Anthony, Phillip, Sidney","HARDS, Anthony, Phillip, Sidney",NA
WO2001073596,05.10.2001,SEARCH USER INTERFACE FOR CONSTRUCTING AND MANAGING USER PROFILES AND SEARCH CRITERIA,"[09/538,162 29.03.2000 US]",G06F 17/30;H04N 5/76;H04N 5/445,KONINKLIJKE PHILIPS ELECTRONICS N.V.,"MARTINO, Jacquelyn, A.;NIKOLOVSKA, Lira;CAMPLIN, Alison, F.",NA
US20080257172,24.10.2008,Control Cabinets for Food Processing Systems,"[11067214 2006-09-20T23:59:59.000Z US, 60719252 2005-09-21T23:59:59.000Z US, US06036408 2006-09-20T23:59:59.000Z WO]",A47J 37/01;A47J 37/01;A47B 96/00;A47B 96/00,DUCKWORTH TERRY J;LATHAM S DUANE,Duckworth Terry J.;Latham S. Duane,NA
WO2007038067,06.04.2007,CONTROL CABINETS FOR FOOD PRECESSING SYSTEMS,"[60/719,252 21.09.2005 US]",A47J 37/04;A47J 37/12,"GLOBAL COOKING SYSTEMS, LLC;DUCKWORTH, Terry, S.;LATHAM, S., Duane","DUCKWORTH, Terry, S.;LATHAM, S., Duane",NA
CA2094521,06.11.1993,BAKING STONE AND METHOD OF MANUFACTURE THEREOF,"[07/878,097 1992-05-04T23:59:59.000Z US]",C04B 30/02;A21B 5/00;B28B 1/08;C04B 14/42;C04B 35/80,NA,"O'TOOLE, MARK J.",NA
US4802233,01.02.1989,Thermally insulated food bag,[06575808 1984-02-01T23:59:59.000Z US],B65D 33/14;B65D 33/02;B65D 30/08;B65D 33/24;B65D 30/08;B65D 81/38;B65D 33/16;B65D 33/24;B65D 81/38;B65D 81/38,"Thermal Bags by Ingrid, Inc.",Skamser Ingrid,NA
US4836383,07.06.1989,Microwave food carton with divider panel,NA,B65D 5/48;B65D 5/4805;B65D 5/54;B65D 5/54;B65D 81/34;B65D 81/34,International Paper Company,Gordon Robert L.;Bernstein Linda A.,NA
US20010029671,19.10.2001,Roller cutter with retractable and removable cutter wheel,[60196875 2000-04-12T23:59:59.000Z US],B26B 1/08;B26B 25/00;B26B 25/00,Progressive International Corp.,"Young, Michael W. K.;Young, Wei",NA
WO2004071723,27.08.2004,FOOD SLICING APPARATUS FOR A FOOD PROCESSING LINE,"[10/357,737 04.02.2003 US]",B26D 1/46;B26D 1/48;B26D 1/54;B26D 3/28;B26D 7/06,"QUANTUM TECHNICAL SERVICES, INC.","FREUDINGER, Mark, J.;WHITE, David, J.",NA
US5110039,06.05.1992,Single piece food package,NA,B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,Weyerhaeuser Company,Philips Nicholas A.,NA
US5179265,13.01.1993,Cooking time control system for conveyor ovens,NA,A21B 1/00;A21B 1/24;A21B 1/40;F24C 15/32;F24C 15/32;G05D 23/19;G05D 23/19,United Electric Controls Company,Sheridan John J.;Polster Louis S.,NA
US20130337145,20.12.2013,Shortening particle compositions and dough products made therefrom,NA,A23D 9/00;A21D 2/16;A21D 10/00;A23D 9/04;A23D 9/05,"General Mills, Inc.;General Mills, Inc.",Erickson Braden J.;Seibold Jon D.;Oppenheimer Alan A.,NA
DE000003224533,06.01.1984,Process for the production of a pizza base or the like suitable for a frozen product,NA,A21D 13/,Freiberger Lebensmittel GmbH,VERZICHT DES ERFINDERS AUF NENNUNG,NA
US20100215801,27.08.2010,"Thin Crust, Flaky Bread Product And Method For Making Same",NA,A21D 10/00;A21D 10/02;A21D 8/02;A21D 8/02,KRAFT FOODS GLOBAL BRANDS LLC,Pai Yayu Sophia,NA
CA2651359,07.12.2007,IMPROVED WARM FOOD PRODUCT DISTRIBUTOR,[PI2006A000061 2006-06-01T23:59:59.000Z IT],A21C 15/00,STARSTATUS TRADING INTERNATIONAL LDA,"BIANCHI, MARCO",NA
CA2279384,12.09.1998,SEALABLE CARTON,[9702145.5 1997-02-03T23:59:59.000Z GB],B65D 5/02;B65D 5/20,THE MEAD CORPORATION,"SAULAS, ALAIN",NA
US5522310,05.06.1996,Apparatus for heating and dispensing food,"[07595583 1990-10-10T23:59:59.000Z US, 07770616 1991-10-03T23:59:59.000Z US, 08043164 1993-04-05T23:59:59.000Z US]",G07F 11/00;A47J 27/14;G07F 9/10,"BLACK, SR.; GARY W.;GARVEY; DAVID",Black Gary W.;Garvey David,NA
US20080135037,13.06.2008,Oven,[538946 2005-03-18T23:59:59.000Z NZ],F24C 7/00;F24C 7/00;F24C 15/32;F24C 15/32,HARDS ANTHONY PHILLIP SIDNEY,Hards Anthony Phillip Sidney,NA
CA1080029,25.06.1980,METHOD OF AND APPARATUS FOR HEATING AN ITEM OF FOOD,NA,A47J 37/06;A21B 1/42;A21D 8/06;A47J 37/04,NA,"ZIMMER, ELVIS S.;AHLGREN, DAVID W.;HASSELL, DAVID A.",NA
CA2543147,07.05.2005,SHREDDED FOOD PRODUCTS AND METHODS OF PRODUCING AND APPLYING SHREDDED FOOD PRODUCTS,"[60/513,145 2003-10-21T23:59:59.000Z US]",A23P 1/12;A01J 27/04;A23L 1/00,NESTEC S.A.,"BELVILLE, DAVID L.;D'AMICO, WILLIAM;KERMODE, KEVIN T.;BOMBIK, RUSSEL C.",NA
EP1360869,13.11.2003,PROVISION OF LOCATION DEPENDENT SERVICES WITHOUT REVEALING THE USER IDENTITY VIA A MOBILE TELECOMMUNICATIONS NETWORK,"[0103502 2001-02-13T23:59:59.000Z GB, 0200195 2002-01-17T23:59:59.000Z GB]",H04W 4/02;H04L 29/06;H04W 12/02,VODAFONE PLC,MARLEY NEIL;DEBNEY CHARLIE WILLIAM,NA
US20030044511,07.03.2003,Rapidly disintegrating flavored film for precooked foods,[09884112 2001-06-19T23:59:59.000Z US],A61K 47/00;A23L 1/00;A23L 1/00;A23L 1/052;A23L 1/0522;A23L 1/0522;A23L 1/0534;A23L 1/09;A23L 1/09;A23L 1/22;A23L 1/22;A23L 1/226;A23L 1/226;A23P 1/08;A23P 1/08,HF Flavoring Technology LLP,"Zerbe, Horst G.;Al-Khalil, Fadia",NA
EP0056346,22.07.1982,"Process and machine for the continuous manufacture of flat pre-cooked industrial bakery products, for example pizza bases.",[8100223 1981-01-08T23:59:59.000Z FR],A21B 7/00 B;A21D 13/00 A;A21B 5/02;A21B 7/00;A21C 11/00;A21D 13/00,BROSSARD GRINGOIRE,LUCAS ANDRE,NA
EP2489021,23.08.2012,"AN AUTOMATIC DISTRIBUTOR APPARATUS FOR HEATED FOOD PRODUCTS, SUCH AS PIZZAS OR OTHER PRODUCTS, AND AN OPERATING METHOD","[2010002623 2010-10-12T23:59:59.000Z IB, RE20090101 2009-10-16T23:59:59.000Z IT]",G07F 9/10,CIERRECI S R L,POLI BERARDO;ROCCHELLI SILVIO;RIGHI MAURO,NA
EP1060670,21.12.2000,Manually operated portioning device for producing dough discs for pizzas and process for operating the portioning device,[111699 1999-06-15T23:59:59.000Z CH],A21C 11/10;A21C 5/00;A21C 5/00;A21C 11/00;A21C 11/10,GRIECO LEONARDO,GRIECO LEONARDO,NA
CA2184935,09.03.1997,PROCESS FOR PRODUCING A CASE-SHAPED PIZZA TYPE FOOD PRODUCT CONSUMABLE LIKE A SANDWICH; PRODUCT THUS OBTAINED,[95.10482 1995-09-07T23:59:59.000Z FR],A21D 10/00;A21C 9/06;A21D 13/00;A23P 1/10,NA,"REBEAUD, ISABELLE",NA
kr1020050090661,15.09.2005,HEATING AND COOLING CONTAINER CAPABLE OF KEEPING TEMPERATURE OF SUCH FOOD AS PIZZA OR SLICED RAW FISH PROPER,NA,A47J 41/00,"LEE, HO JEONG;KOO, BON MOON","LEE, HO JEONG;KOO, BON MOON",NA
US3999926,29.12.1976,Apparatus for shaping dough lumps,[75007516 1975-03-11T23:59:59.000Z FR],A21C 9/00;A21C 9/08;A21C 11/00;A21C 11/00,Machines Bertrand S.A.,Victor Maurice,NA
WO1997008062,07.03.1997,CONTAINER FOR TEMPORARY STORAGE OF FOOD ITEMS,"[08/520,105 28.08.1995 US]",B65D 5/20;B65D 5/24;B65D 5/28;B65D 85/36,BOISE CASCADE CORPORATION,"WATANABE, Michael, E.",NA
CA1066551,21.11.1979,SYNERGISTIC COMBINATION CHEESE EXTENDER,NA,A21D 13/00,NA,"PETERSON, MARVIN A.;KASIK, ROBERT L.",NA
US20040130170,09.07.2004,Bag for carrying box-shaped objects,[200101211 2001-04-05T23:59:59.000Z SE],A45F 5/00;A45F 5/00;A47J 47/00;A47J 47/14;B65D 30/10;B65D 30/10;B65D 30/12;B65D 33/06;B65D 33/10;B65D 85/30;B65D 85/36,WOLDEKIDAN TEZZI,Woldekidan Tezzi,NA
WO2004095933,12.11.2004,"DOUGH THAT BROWNS, RAISES AND FORMS A TENDER BREAD CRUST UNDER THE INFLUENCE OF MICROWAVE ENERGY","[10/423,038 24.04.2003 US]",A21D 10/02;A21D 13/00,"SCHWAN'S FOOD MANUFACTURING, INC.;SADEK, Nagwa, Zaki;INGELIN, Mark, E.;MORAD, Mohamed, M.","SADEK, Nagwa, Zaki;INGELIN, Mark, E.;MORAD, Mohamed, M.",NA
WO2002102173,28.12.2002,RAPIDLY DISINTEGRATING FLAVORED FILM FOR PRECOOKED FOODS,"[09/884,112 19.06.2001 US]",A23L 1/00;A23L 1/0522;A23L 1/0534;A23L 1/09;A23L 1/22;A23P 1/08,"ZERBE, Horst, G.;AL-KHALIL, Fadia","ZERBE, Horst, G.;AL-KHALIL, Fadia",NA
EP0105640,19.04.1984,IMPROVED FLOUR,[8225414 1982-09-07T23:59:59.000Z GB],A23L 1/172;A21D 6/00;A23L 1/10;A21D 2/36;A21D 6/00;A21D 10/00,UNILEVER NV,"YOELL, RICHARD WILLIAM",NA
CA1239304,20.07.1988,FLOUR,[8225414 1982-09-07T23:59:59.000Z GB],A21D 2/36;A21D 6/00,NA,"YOELL, RICHARD W.",NA
US20110086141,15.04.2011,Package for Cushioning Food Product,NA,B65D 81/02;A21D 10/02;B65D 57/00,STRILICH Erik;GOWENS Patrick A.;COGLEY Paul Andrew,STRILICH Erik;GOWENS Patrick A.;COGLEY Paul Andrew,NA
US20130095216,19.04.2013,EMBOSSED SHEET AND METHOD OF MAKING AND USING SAME,NA,B65B 25/00;B32B 1/02;B28B 11/08;B32B 3/00,"Pugh Jeffrey D.;Smart Packaging, LLC;Hansen Merrill Jon",Pugh Jeffrey D.;Hansen Merrill Jon,NA
US20040009272,16.01.2004,Fried texture imparting glaze for a food intermediate and method of making a product and a product produced thereby,[10195043 2002-07-12T23:59:59.000Z US],A21D 13/00;A21D 8/00;A21D 13/00;A21D 13/00;A23L 1/00;A23L 1/00,The Pillsbury Company,"Lonergan, Dennis A.;Rodne, Trudi R.;Wang, Iris A.",NA
US20080124434,30.05.2008,Custom food product preparation methods and apparatus,NA,A21C 9/04,Hrudka Brian,Hrudka Brian,NA
US6386498,15.05.2002,Elevated platter for preparing food in a microwave oven,[09443058 1999-11-18T23:59:59.000Z US],H05B 6/80;A47B 91/00;A47J 36/02;A47J 36/02;B65D 81/34;B65D 81/34;H05B 6/64;H05B 6/64,DECO KELLY,"Deco, Kelly",NA
US6533164,19.03.2003,Multi-featured blank for a food carton,[10119974 2002-04-10T23:59:59.000Z US],B65D 5/00;B65D 5/20;B65D 5/22;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,NA,"Correll, John D.",NA
WO1996034809,08.11.1996,TRAY FOR MICROWAVE COOKING,"[08/434,130 02.05.1995 US]",B65D 81/34,"GICS & VERMEE, L.P.","GICS, Paul, W.",NA
CA2099604,30.05.1992,BAG FOR CARRYING BOX-SHAPED OBJECTS,NA,B65D 30/10;B65D 85/36,NA,"EKSTROM, J. FREDRIK",NA
US5211329,19.05.1993,Food product container,NA,B65D 5/20;B65D 5/20;B65D 5/22;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,"Bates Container, Inc.",Patton James D.,NA
US6936791,31.08.2005,Thermal storage and transport,"[08706651 1996-09-06T23:59:59.000Z US, 09204013 1998-12-01T23:59:59.000Z US, 09526026 2000-03-15T23:59:59.000Z US]",H05B 3/22;A21B 1/52;A47J 39/02;A47L 36/24;A47J 47/14;H05B 3/00;H05B 3/34,Vesture Acquisition Corporation,Baldwin Wayne D.;Abe Fujio,NA
US6095324,02.08.2000,Food transportation container,NA,A45C 11/20;B65D 81/26;B65D 81/26;B65D 85/30;B65D 85/36,MULLIN; ROBERT,Mullin Robert,NA
WO2005044693,20.05.2005,THERMAL BAG FOR TRANSPORTATION OF HOT MEALS IN HORIZONTAL POSITION,[PS2003U000015 07.11.2003 IT],B65D 81/38,"ANDELINI S.P.A.;ANDELINI, Marcello","ANDELINI, Marcello",NA
CA2366182,28.06.2002,"BALSAMIC SAUCE FOR ALIMENTARY USE, WITH A BASIS OF BALSAMIC VINEGAR OF MODENA",[MI2000A 002832 2000-12-27T23:59:59.000Z IT],A23L 1/39;A23L 1/05;A23L 1/09;A23L 1/24;C12J 1/08,ACETUM S.R.L.,"CONTINI, ARTURO;ROSTA, ALBERTO;BOCCAFOLI, ANDREA",NA
US20050261001,25.11.2005,Provision of location dependent services without revealing the user identity via a mobile telecommunications network,[0103502 2001-02-13T23:59:59.000Z GB],H04L 29/06;H04W 4/02;H04W 12/02,Vodafone Group PLC.,Marley Neil;Debney Charlie William,NA
US4164591,15.08.1979,Method of heating a food article,NA,A23L 1/01;A23L 1/01;A21B 1/00;A21B 1/42;A21D 8/00;A21D 8/06;A23L 1/214;A23L 1/214;A23L 1/32;A23L 1/32;A23L 3/365;A23L 3/365;A47J 37/04;A47J 37/04,Paulucci Jeno F.,Ahlgren David W.;Hassell David A.;Zimmer Elvis S.,NA
US4411920,26.10.1983,Process for baking pies,[06128680 1980-03-10T23:59:59.000Z US],A21B 1/00;A21B 1/24;A21B 1/44;A47J 37/04;A47J 37/04,FENOGLIO BERNARD F,Fenoglio Bernard F.,NA
US20050123663,10.06.2005,Shredded food products and methods of producing and applying shredded food products,"[10970022 2004-10-21T23:59:59.000Z US, 60513145 2003-10-21T23:59:59.000Z US]",A01J 1/00;A01J 21/00;A01J 21/02;A01J 27/00;A01J 27/04;A21C 9/00;A21C 9/04;A21D 13/00;A21D 13/00;A23L 1/00;A23L 1/00,NA,White Robert David;Dhruv Ashok Shashikant;Prins Timothy G.;Belville David Lee;D'Amico William;Kermode Kevin T.;Bombik Russell C.,NA
WO2007137870,07.12.2007,IMPROVED WARM FOOD PRODUCT DISTRIBUTOR,[PI2006A000061 01.06.2006 IT],A21C 15/00,"STARSTATUS TRADING INTERNACIONAL LDA;BIANCHI, Marco","BIANCHI, Marco",NA
US20030234205,26.12.2003,Multi-tool kitchen utensil kit and container,"[10177699 2002-06-20T23:59:59.000Z US, 10286691 2002-11-01T23:59:59.000Z US, 10458461 2003-06-10T23:59:59.000Z US, 29164208 2002-07-19T23:59:59.000Z US]",B65D 1/34;A47J 43/00;A47J 43/28;B26B 5/00;B26B 5/00;B26B 25/00;B26B 25/00,NA,McGuyer Carter W.;Robbins Rodney W.,NA
US5865489,03.02.1999,Baking utensil,NA,A47J 45/10;A47J 45/00;A47J 45/10,KOBAS; GEORGE L.,Kobas George L.,NA
US4260060,08.04.1981,Food carton for microwave heating,NA,B65D 81/34;B65D 81/34,Champion International Corporation,Faller Rudolph A.,NA
CA2036517,13.10.1991,MICROWAVE SUSCEPTOR SHEET STOCK WITH HEAT CONTROL,"[508,256 1990-04-11T23:59:59.000Z US]",B65D 81/34;A23L 1/10,NA,"PELEG, YIGAL;PELEG, YIGAL",NA
US20020172747,22.11.2002,Self rising dough-containing food product,[09824335 2001-04-02T23:59:59.000Z US],A21D 2/00;A21D 2/00;A21D 2/14;A21D 2/18;A21D 6/00;A21D 6/00,RHODIA INC.,Brodie John;Shaheed Amr,NA
EP0423650,25.04.1991,FOOD PRODUCT AND METHOD FOR MAKING THE SAME,[42394389 1989-10-19T23:59:59.000Z US],A23L 1/18;A23C 19/09;A23L 1/18,"NATURESTAR FOODS, INC.","PLOCHMAN, FREDERIC W.",NA
CA2027718,21.04.1991,FOOD PRODUCT AND METHOD FOR MAKING THE SAME,"[423,943 1989-10-19T23:59:59.000Z US]",A23L 1/18;A23C 19/09;A23L 1/48;A23L 3/44;A23P 1/08,NA,"PLOCHMAN, FREDERIC W.",NA
WO2005039324,07.05.2005,SHREDDED FOOD PRODUCTS AND METHODS OF PRODUCING AND APPLYING SHREDDED FOOD PRODUCTS,"[60/513,145 21.10.2003 US]",A01J 21/02;A01J 27/04;A21C 9/04;A23L 1/00,"NESTEC S.A.;BELVILLE, David, L.;D'AMICO, William;KERMODE, Kevin, T.;BOMBIK, Russel, C.","BELVILLE, David, L.;D'AMICO, William;KERMODE, Kevin, T.;BOMBIK, Russel, C.",NA
US20130344211,27.12.2013,CONTAINER,[1210917.9 2012-06-20T23:59:59.000Z GB],B65D 5/66;B65D 5/42;B65B 63/00;B65B 25/00,Hemsley Richard Edward;Atlantic Enterprises (2009) Limited,Hemsley Richard Edward,NA
CA2690423,19.07.2011,FLOUR DUSTING SYSTEM,NA,A21C 9/04,FGF BRANDS INC.,"AJMERA, SAM;AJMERA, TEJUS;BEHMARD, MOHAMMAD",NA
US20030234188,26.12.2003,Multi-tool kitchen utensil kit and container,"[10177699 2002-06-20T23:59:59.000Z US, 10286691 2002-11-01T23:59:59.000Z US]",B65D 69/00;A47J 43/00;A47J 43/28;B26B 5/00;B26B 5/00;B26B 25/00;B26B 25/00,NA,McGuyer Carter W.,NA
US5542540,07.08.1996,Box lid support,NA,B65D 85/00;B65D 5/50;B65D 5/50;B65D 85/30;B65D 85/36,"KNAPP; EDWARD R.;KNAPP, II; EDWARD R.;KNAPP; MIRANDA A.",Knapp Edward R.;Knapp Edward R.;Knapp Miranda A.,NA
US4389562,22.06.1983,Conveyor oven,NA,A21B 1/00;A21B 1/22;A21B 1/26;A21B 1/42;A21B 1/48;A47J 37/04;A47J 37/04,Hatco Corporation,Chaudoir Roderick J.,NA
US20060117923,09.06.2006,Connector assembly,NA,B23D 15/00;B23D 15/00;B26D 1/01;B26D 1/46;B26D 1/48;B26D 1/54;B26D 3/00;B26D 3/28;B26D 7/06;B26D 7/06,"Quantum Technical Services, Inc.",Freudinger Mark J.;White David J.,NA
CA2277621,28.01.2000,MULTIMEDIA INTERACTIVE COMPUTER-BASED ORDER ENTRY AND INFORMATION KIOSK SYSTEM,"[09/122,810 1998-07-27T23:59:59.000Z US]",NA,"BENASUTTI, MICHAEL S.","BENASUTTI, MICHAEL S.",NA
WO1992009493,12.06.1992,BAG FOR CARRYING BOX-SHAPED OBJECTS,NA,B65D 30/10;B65D 85/36,"CRAFOORD, Anne","EKSTROM, J., Fredrik",NA
EP0327332,10.08.1989,Fried pie and method of making the same.,[15140588 1988-02-02T23:59:59.000Z US],A21D 13/00;A21D 13/08;A21D 13/00;A23L 1/00;A23L 1/01,DCA FOOD IND,DE FIGUEIREDO MARIO P;BRODY RICHARD L,NA
CA2434697,08.01.2005,SWITCHING DEVICE FOR GAS OPERATED APPLIANCE,NA,H01H 43/00;F24C 3/12;H01H 43/10,"VIEIRA, MANUEL","VIEIRA, MANUEL",NA
CA2330552,05.11.1999,BOOTH FOR MANUFACTURING AND DISTRIBUTING FOOD,"[PP 3222 1998-04-29T23:59:59.000Z AU, PP 8806 1999-02-22T23:59:59.000Z AU, PP 8807 1999-02-22T23:59:59.000Z AU]",E04H 1/12,"PARMA-BREITENBACH, CORNELIA M.;PIZZAGROUP SRL;PIZZAGROUP SRL","PARMA-BREITENBACH, CORNELIA M.;RIGA, RENATO;BELLOTTO, CARLO",NA
US20130192475,02.08.2013,Flat Flexible Cooker,NA,A47J 37/06,Lynn Wayne Lee;Lynn Judy Ann,Lynn Wayne Lee;Lynn Judy Ann,NA
CA2467213,23.11.2004,SUSCEPTOR TRAY AND MICROWAVABLE DOUGH PRODUCTS,"[10/443,252 2003-05-22T23:59:59.000Z US]",B65D 81/34;B65D 77/04;B65D 85/72,"KRAFT FOODS HOLDINGS, INC.","COGLEY, PAUL A.;PETROFSKY, KEITH E.;GREINER, STEVEN P.;TANGPRASERTCHAI, URAIWAN;HEWITT, AMY L.",NA
US20030160069,29.08.2003,Sauce pumping apparatus,"[10364301 2003-02-10T23:59:59.000Z US, 60355262 2002-02-08T23:59:59.000Z US]",G01F 11/06;A21C 9/00;A21C 9/04;B05C 5/02;B05C 5/02;B05C 11/10;B05C 11/10,"Automatic Bar Controls, Inc.",Tuyls James M.;Jepson Antonio J.;Salmela Juha K.;Dewing John W.,NA
US20030161947,29.08.2003,Rotary sauce dispensing apparatus,"[10365709 2003-02-10T23:59:59.000Z US, 60355262 2002-02-08T23:59:59.000Z US]",B05C 5/02;A21C 9/00;A21C 9/04;B05C 5/02;B05C 11/10;B05C 11/10;B05C 13/02;B05C 13/02,"Automatic Bar Controls, Inc.",Tuyls James M.;Jepson Antonio J.;Salmela Juha K.;Dewing John W.,NA
US4891482,03.01.1990,Disposable microwave heating receptacle and method of using same,NA,B65D 81/34;B65D 81/34,The Stouffer Corporation,Jaeger Kirk A.;Peleg Yigal;Popp David R.,NA
WO2012156771,23.11.2012,LOW-FAT MOZZARELLA AND PROCESS OF PRODUCTION THEREOF,NA,A23C 19/068;A23C 19/082,"BRYSON, Jenny, Lee","BRYSON, Jenny, Lee",NA
US5334242,03.08.1994,Baking stone and method of manufacture thereof,NA,C04B 14/00;C04B 14/38;A21B 3/00;A21B 3/15;C04B 14/38;C04B 14/42,TOOLE MARK J O,O'Toole Mark J.,NA
US4993157,20.02.1991,Food cutting apparatus,NA,A21C 15/00;A21C 15/04;B26B 25/00;B26B 25/00,WANG JOHN J,Wang John J.,NA
US20060141100,30.06.2006,Bread product and method for its production,[107955 2003-06-30T23:59:59.000Z BG],A21D 13/00;A21D 2/00;A21D 2/36;A21D 13/00,DIMITROV VISARION I;DIMITROV ISKREN I,Dimitrov Visarion Ivanov;Dimitrov Iskren Iranov,NA
WO2005000028,07.01.2005,BREAD PRODUCT AND METHOD FOR ITS PRODUCTION,[107955 30.06.2003 BG],A21D 2/36;A21D 13/00,"DIMITROV, Visarion Ivanov;DIMITROV, Iskren Ivanov;ANTONOV, Andrey Dimitrov;STANEV, Miroslav Hristov","DIMITROV, Visarion Ivanov;DIMITROV, Iskren Ivanov",NA
WO2002065804,23.08.2002,PROVISION OF LOCATION DEPENDENT SERVICES WITHOUT REVEALING THE USER IDENTITY VIA A MOBILE TELECOMMUNICATIONS NETWORK,[0103502.1 13.02.2001 GB],H04L 29/06;H04W 4/02;H04W 12/02,"VODAFONE GROUP PLC;MARLEY, Neil;DEBNEY, Charlie, William","MARLEY, Neil;DEBNEY, Charlie, William",NA
US20120192850,03.08.2012,Interface device for oven,NA,H05B 1/02,Hensel Keith James;Breville Pty Limited;Lai Ze Kang,Hensel Keith James;Lai Ze Kang,NA
US20080264987,31.10.2008,Container for use with a vehicle seat,"[11004724 2007-12-21T23:59:59.000Z US, 60925973 2007-04-24T23:59:59.000Z US]",B60R 7/04;B60R 7/04;B65D 25/00;B65D 25/00,SARRO MITCHELL J;WILLIAMS JOHN R,Sarro Mitchell J.;Williams John R.,NA
US5752651,20.05.1998,Matable blank and food carton,[08289306 1994-08-11T23:59:59.000Z US],B65D 5/20;B65D 5/20;B65D 5/20;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,CORRELL; JOHN D.,Correll John D.,NA
WO2011045174,22.04.2011,PACKAGE FOR CUSHIONING FOOD PRODUCT,"[US 20091014 12/578,929]",B65D 75/30;B65D 75/58;B65D 81/20,"NESTEC S.A.;STRILICH, Erik M;GOWENS, Patrick Albert;COGLEY, Paul Andrew","STRILICH, Erik M;GOWENS, Patrick Albert;COGLEY, Paul Andrew",NA
WO2013056114,19.04.2013,EMBOSSED SHEET AND METHOD OF MAKING AND USING SAME,"[13/273,029 13.10.2011 US]",B29D 22/00,"SMART PACKAGING, LLC","PUGH, Jeffrey, D.;HANSEN, Merrill, Jon",NA
EP0515318,26.11.1992,Pasta Filata type cheese including other ingredients,[MI911126 1991-04-23T23:59:59.000Z IT],A23C 19/09;A23C 19/068;A23C 19/032;A23C 19/068;A23C 19/09,VESELY MARCO EMILIO;VESELY LEONARDO,VESELY MARCO EMILIO;VESELY LEONARDO,NA
US5458055,18.10.1995,Method and apparatus for portioning food,NA,A21C 9/04;A21C 9/00;A21C 9/04,"FITCH, JR.; CLIFFORD E.",Fitch Clifford E.,NA
US20110100232,06.05.2011,"METHOD AND APPARATUS FOR FORMING DOUGH, AND A DOUGH FORM THEREFROM","[2004-212313 2004-06-22T23:59:59.000Z JP, 2005-089730 2005-02-25T23:59:59.000Z JP]",A21D 6/00,"SATACO CO., LTD.",Aonuma Saburo,NA
US20040253348,17.12.2004,Shield for food product,"[10819058 2004-04-06T23:59:59.000Z US, 60460917 2003-04-07T23:59:59.000Z US]",A21D 8/00;A47J 36/00;A47J 36/06;A47J 37/01;A47J 37/01,NA,Woodward Steven J.;Craig Todd W.;Amigh Steven A.;Holman Andre,NA
CA1255240,07.06.1989,STACKABLE PAN,NA,B65D 21/00;A21B 3/13;A47G 19/23;A47J 27/00,NA,"SLEDZ, LOUIS",NA
EP0092631,03.11.1983,Wood oven functional in moving vehicles.,[82830105 1982-04-22T23:59:59.000Z EP],A21B 1/04 B;F24B 1/20 A;A21B 1/04;A21B 1/52 B;A21B 1/52;F24B 1/20,AGOSTO ANTONIO D,D AGOSTO ANTONIO,NA
