"ipc_class","publication_number"
"A21: Baking","US4834995"
"A45: Hand Or Travelling Articles","US5480031"
"A21: Baking","US4367243"
"A23: Foods Or Foodstuffs","US5523104"
"A21: Baking","US6227093"
"A21: Baking","US20100107899"
"A21: Baking","US5441751"
"A21: Baking","US5894028"
"B60: Vehicles In General","CA1312642"
"A47: Furniture","US20140174039"
"A23: Foods Or Foodstuffs","US20060040037"
"A21: Baking","US5789009"
"A21: Baking","US5968566"
"A21: Baking","US6626091"
"A21: Baking","US5680956"
"G07: Checking","WO2005067439"
"B65: Conveying","EP2230184"
"A47: Furniture","US4865219"
"A47: Furniture","US4785968"
"A23: Foods Or Foodstuffs","US5009867"
"A21: Baking","US20050123659"
"A21: Baking","US20050175753"
"A21: Baking","US5492055"
"A21: Baking","US20020176921"
"A21: Baking","US4100676"
"A21: Baking","USRE033508"
"A21: Baking","US20080134517"
"A21: Baking","US20080089978"
"A21: Baking","CA2792833"
"A45: Hand Or Travelling Articles","WO2002038001"
"A21: Baking","EP0843517"
"A21: Baking","US4954357"
"B65: Conveying","US20130015084"
"A47: Furniture","US20030145740"
"A21: Baking","US20100266733"
"A21: Baking","US5903981"
"B26: Hand Cutting Tools","WO2010020022"
"A21: Baking","US4753815"
"B26: Hand Cutting Tools","US5920992"
"A45: Hand Or Travelling Articles","US6471065"
"B60: Vehicles In General","US4919477"
"A21: Baking","US20060230949"
"A21: Baking","CA2088190"
"A23: Foods Or Foodstuffs","US20090238924"
"A21: Baking","EP1031283"
"A21: Baking","WO2003045155"
"A45: Hand Or Travelling Articles","US5076437"
"A21: Baking","EP1399024"
"A21: Baking","US5207151"
"A21: Baking","CA2163561"
"A47: Furniture","US4423551"
"A21: Baking","US5260070"
"A21: Baking","US5526735"
"A21: Baking","CA2225610"
"A21: Baking","EP0697815"
"A21: Baking","EP1168926"
"A21: Baking","WO1997001960"
"A21: Baking","CA1136481"
"A21: Baking","CA2359766"
"A21: Baking","US4197794"
"A21: Baking","CA2067434"
"A21: Baking","US20100239719"
"A21: Baking","CA1058441"
"A21: Baking","EP2181599"
"B32: Layered Products","US20120325834"
"A21: Baking","US20010000561"
"B65: Conveying","WO2012115699"
"A21: Baking","WO1995000058"
"A21: Baking","US20030134016"
"A21: Baking","US6526874"
"A21: Baking","US5417149"
"A21: Baking","CA2069782"
"A21: Baking","US4791861"
"A21: Baking","US5365833"
"A21: Baking","WO2010110971"
"B65: Conveying","US7051919"
"B65: Conveying","US5806755"
"A21: Baking","EP1053681"
"A21: Baking","US5234334"
"A21: Baking","EP0516428"
"B65: Conveying","US20110186621"
"A21: Baking","US5405627"
"A21: Baking","US4283424"
"A21: Baking","US6168812"
"F26: Drying","US4922626"
"A21: Baking","CA2678558"
"A21: Baking","WO1997042826"
"A21: Baking","CA2487974"
"A21: Baking","US5165942"
"A21: Baking","US6398539"
"A21: Baking","CA1335057"
"A21: Baking","US5119719"
"A21: Baking","EP0107289"
"A21: Baking","US6363838"
"A21: Baking","WO2003001917"
"B65: Conveying","US20070241175"
"A21: Baking","US20080014316"
"B65: Conveying","US20060091189"
"A21: Baking","CA1226756"
"A21: Baking","US20090220657"
"A47: Furniture","US5328258"
"B60: Vehicles In General","US6431628"
"A23: Foods Or Foodstuffs","US20120219684"
"G06: Computing","US20080015737"
"B65: Conveying","US20070267471"
"A47: Furniture","EP1507720"
"B31: Making Paper Articles","US7678036"
"B26: Hand Cutting Tools","EP2551076"
"A21: Baking","CA2650575"
"B26: Hand Cutting Tools","US20070251098"
"A21: Baking","WO1990013229"
"A47: Furniture","US4924575"
"A21: Baking","WO1994027446"
"A21: Baking","CA2154183"
"A21: Baking","US6783782"
"A21: Baking","US5121677"
"A21: Baking","WO2008103907"
"A21: Baking","US20030138539"
"A21: Baking","US4464406"
"A47: Furniture","CA2038891"
"A21: Baking","US5417150"
"A21: Baking","WO2007121217"
"A47: Furniture","US20060027106"
"A21: Baking","WO1994016569"
"B65: Conveying","US6915949"
"A21: Baking","WO2000042857"
"B65: Conveying","US20040169048"
"A21: Baking","WO1989008402"
"A21: Baking","US20070243291"
"A47: Furniture","WO2003095336"
"A21: Baking","US5472723"
"B65: Conveying","WO2000058179"
"A47: Furniture","US5175933"
"B65: Conveying","US5170903"
"B26: Hand Cutting Tools","US20120060378"
"A21: Baking","US6156356"
"A23: Foods Or Foodstuffs","US20140087048"
"A21: Baking","US20110059209"
"B65: Conveying","EP1165401"
"B26: Hand Cutting Tools","US20100269359"
"A47: Furniture","WO2012159131"
"B65: Conveying","US20090245698"
"B65: Conveying","CA2483741"
"A47: Furniture","US5586488"
"A21: Baking","US5149556"
"B65: Conveying","US4700843"
"A47: Furniture","US5598932"
"A21: Baking","US5154115"
"A21: Baking","US4690043"
"F24: Heating","US20060081622"
"A21: Baking","WO1988009618"
"A21: Baking","EP0104742"
"A47: Furniture","US5110038"
"A23: Foods Or Foodstuffs","WO2007139285"
"A21: Baking","US20070190215"
"B65: Conveying","US5375761"
"A47: Furniture","CA1256709"
"A21: Baking","EP0776605"
"B65: Conveying","WO2003091120"
"A21: Baking","WO2007124583"
"A23: Foods Or Foodstuffs","CA1077338"
"A21: Baking","US5865107"
"G06: Computing","US20080015736"
"A21: Baking","WO2002100176"
"A47: Furniture","CA1171913"
"A21: Baking","CA2142828"
"B26: Hand Cutting Tools","US20070221029"
"A21: Baking","US20020048624"
"A47: Furniture","EP0431583"
"B65: Conveying","US6290122"
"A23: Foods Or Foodstuffs","WO2012099969"
"A47: Furniture","US5197378"
"B65: Conveying","US20060243782"
"A21: Baking","CA2327225"
"A21: Baking","US4384513"
"A21: Baking","US3975552"
"A47: Furniture","US5129521"
"G06: Computing","US20080009963"
"A21: Baking","US5780082"
"A47: Furniture","WO1999055210"
"A21: Baking","WO2014052402"
"A21: Baking","CA2189506"
"A23: Foods Or Foodstuffs","US20060083843"
"B26: Hand Cutting Tools","US7823292"
"A21: Baking","US20020180226"
"A21: Baking","US20030209194"
"A21: Baking","US5924591"
"B65: Conveying","US6206277"
"A21: Baking","WO2001067869"
"A47: Furniture","US20140196609"
"A21: Baking","CA2116319"
"A47: Furniture","US6591503"
"B65: Conveying","WO2006008772"
"H05: Electric Techniques Not Otherwise Provided For","US20060191921"
"B65: Conveying","US5402930"
"A21: Baking","WO2015026896"
"A21: Baking","WO2000000035"
"A21: Baking","EP0294018"
"A21: Baking","US6231332"
"A21: Baking","US20030003211"
"A21: Baking","US4271200"
"A21: Baking","CA2255394"
"A21: Baking","EP0612479"
"A21: Baking","US4716819"
"A23: Foods Or Foodstuffs","US20090274807"
"B65: Conveying","US5476214"
"A47: Furniture","US4450334"
"B26: Hand Cutting Tools","US5469622"
"A23: Foods Or Foodstuffs","CA2652518"
"A21: Baking","US20010024671"
"B65: Conveying","US20040238612"
"A21: Baking","US5176922"
"A21: Baking","US20010002674"
"A21: Baking","US6083550"
"B65: Conveying","EP1776296"
"A21: Baking","US4378729"
"B65: Conveying","US5098013"
"A21: Baking","US5202138"
"A21: Baking","US6626996"
"A21: Baking","EP1107199"
"A21: Baking","US20100266736"
"B31: Making Paper Articles","US20110253773"
"A23: Foods Or Foodstuffs","US20070277681"
"A21: Baking","US4815859"
"A21: Baking","EP2632275"
"A21: Baking","US4020184"
"A21: Baking","CA2148038"
"A21: Baking","US5747084"
"A23: Foods Or Foodstuffs","EP2764779"
"A21: Baking","CA1334810"
"A47: Furniture","EP0937434"
"B65: Conveying","CA2059026"
"A45: Hand Or Travelling Articles","US4360118"
"A21: Baking","US5514402"
"A21: Baking","US6048556"
"A21: Baking","US6245370"
"A0J: Agriculture","US20040011219"
"A21: Baking","EP1908352"
"B65: Conveying","US5881948"
"A21: Baking","CA2514095"
"A21: Baking","US20070243292"
"A21: Baking","US20050133502"
"A21: Baking","US20040175477"
"A21: Baking","US20100266731"
"B65: Conveying","EP2189389"
"A21: Baking","WO2004066736"
"B65: Conveying","US6065669"
"B65: Conveying","US6851601"
"A45: Hand Or Travelling Articles","US20100122930"
"B65: Conveying","US20060065704"
"A21: Baking","US5560944"
"A21: Baking","WO2012055531"
"F24: Heating","US20060191920"
"A21: Baking","US20120258229"
"A47: Furniture","WO2000069752"
"B65: Conveying","WO2006033550"
"A21: Baking","US6126977"
"A21: Baking","WO2000060946"
"A21: Baking","US20060240154"
"A21: Baking","CA1156876"
"A21: Baking","WO2001095729"
"G08: Signalling","CA2426394"
"A21: Baking","EP1596660"
"A21: Baking","US5720998"
"B65: Conveying","US5270686"
"A21: Baking","US6091053"
"A47: Furniture","US6281477"
"A21: Baking","US20130295262"
"A21: Baking","US3938926"
"B65: Conveying","US20080308618"
"A21: Baking","US7823489"
"A21: Baking","US4159349"
"A21: Baking","US6843167"
"A21: Baking","US5277924"
"A21: Baking","WO2000000034"
"G07: Checking","WO2003077213"
"G09: Educating","WO2003090188"
"A23: Foods Or Foodstuffs","US20130017306"
"B65: Conveying","US6070791"
"G09: Educating","US20030196358"
"A21: Baking","US5921170"
"A21: Baking","US20050181098"
"A21: Baking","US5074778"
"A23: Foods Or Foodstuffs","US5484618"
"A21: Baking","EP1468610"
"F24: Heating","US4944285"
"A21: Baking","US4645673"
"A47: Furniture","US20040188365"
"B65: Conveying","US20040222278"
"B31: Making Paper Articles","US6440050"
"A21: Baking","US6077553"
"A21: Baking","US4514089"
"B65: Conveying","US20030079445"
"B65: Conveying","EP1331170"
"G07: Checking","CA2041397"
"B65: Conveying","WO2008116276"
"A21: Baking","WO2003099019"
"B65: Conveying","US6092715"
"A21: Baking","US6086934"
"A21: Baking","US5171367"
"G06: Computing","US20020077912"
"A21: Baking","CA2261878"
"A21: Baking","US4551337"
"A47: Furniture","EP1462033"
"B65: Conveying","US5445314"
"A47: Furniture","US4955125"
"A21: Baking","CA1092887"
"B65: Conveying","US20040238613"
"G06: Computing","WO2002021250"
"A21: Baking","WO2001070086"
"A21: Baking","US20060240153"
"B65: Conveying","US7284687"
"A21: Baking","WO2013092176"
"A47: Furniture","US20090184103"
"A23: Foods Or Foodstuffs","WO1997048283"
"A21: Baking","WO1998004137"
"A21: Baking","EP0914045"
"B65: Conveying","CA2598830"
"F24: Heating","EP1545161"
"A21: Baking","WO1997025870"
"A21: Baking","US4997670"
"A47: Furniture","US6222987"
"A21: Baking","US20140308395"
"A21: Baking","EP0554926"
"A47: Furniture","CA2202841"
"A47: Furniture","US20070169636"
"A21: Baking","US20090285939"
"A21: Baking","US20020090422"
"B65: Conveying","EP0507305"
"A21: Baking","WO2002021927"
"B65: Conveying","US20080048013"
"A21: Baking","WO2009142818"
"A23: Foods Or Foodstuffs","US6113953"
"F24: Heating","US4556046"
"B65: Conveying","US5263634"
"A21: Baking","CA2731260"
"A21: Baking","US20110104339"
"F23: Combustion Apparatus","US4616562"
"A21: Baking","US3979525"
"A21: Baking","US4520035"
"A47: Furniture","CA2638688"
"B65: Conveying","US20110272411"
"A21: Baking","US20050139507"
"A21: Baking","US4416904"
"A21: Baking","CA2048222"
"G06: Computing","US20050049922"
"B26: Hand Cutting Tools","US20100313432"
"A21: Baking","US20030211215"
"A23: Foods Or Foodstuffs","EP0920259"
"A21: Baking","CA2016489"
"A21: Baking","EP0691078"
"B65: Conveying","EP0989067"
"F24: Heating","US20050133503"
"B65: Conveying","EP2570444"
"B65: Conveying","US5247149"
"A47: Furniture","EP0574072"
"A21: Baking","EP0715810"
"B65: Conveying","WO2011070510"
"A21: Baking","US6054697"
"A47: Furniture","US5526569"
"A21: Baking","US20060246182"
"A21: Baking","US20070160715"
"A21: Baking","US5469779"
"A21: Baking","WO1999004638"
"B65: Conveying","US4476989"
"A21: Baking","CA2460583"
"B65: Conveying","US20020040862"
"B65: Conveying","US20050087591"
"B65: Conveying","EP1193184"
"H05: Electric Techniques Not Otherwise Provided For","US20060191922"
"B65: Conveying","EP0957032"
"A21: Baking","US20040146622"
"A21: Baking","US6327968"
"A47: Furniture","US6967036"
"A47: Furniture","US20090200408"
"A21: Baking","US4264634"
"B65: Conveying","US4944452"
"A21: Baking","EP2708135"
"G07: Checking","WO1992007341"
"A21: Baking","US6365210"
"F24: Heating","EP2679917"
"A21: Baking","US5622742"
"A21: Baking","WO2003022059"
"A21: Baking","US20140295039"
"B26: Hand Cutting Tools","US4959905"
"A21: Baking","WO2006115481"
"A47: Furniture","US20130043695"
"A21: Baking","US4403937"
"A47: Furniture","US20140026881"
"A21: Baking","US4176591"
"A21: Baking","CA2269062"
"A21: Baking","CA2609374"
"A21: Baking","US6629493"
"A21: Baking","CA1226757"
"A21: Baking","EP2337455"
"A21: Baking","US4283431"
"A21: Baking","EP0876245"
"B65: Conveying","WO2012011064"
"A21: Baking","CA1286534"
"C12: Biochemistry","US20100248332"
"A21: Baking","CA1131458"
"A45: Hand Or Travelling Articles","US5381905"
"A47: Furniture","WO1996015703"
"A47: Furniture","US20120091125"
"G07: Checking","WO2005015509"
"A23: Foods Or Foodstuffs","US4085228"
"A21: Baking","US4696823"
"A21: Baking","EP1883305"
"A21: Baking","EP0166042"
"A47: Furniture","WO2001070034"
"A21: Baking","US4100308"
"B65: Conveying","WO2009136377"
"A21: Baking","WO2010045988"
"B65: Conveying","US20120305634"
"B65: Conveying","US5305949"
"A47: Furniture","CA2313883"
"A21: Baking","US5873294"
"A21: Baking","US4134004"
"A21: Baking","WO2006125475"
"A21: Baking","WO2000035291"
"B65: Conveying","US5833130"
"A21: Baking","EP0069078"
"B26: Hand Cutting Tools","CA2243666"
"B65: Conveying","US20030163978"
"G10: Musical Instruments","US20050015256"
"F24: Heating","US4896657"
"A21: Baking","US4634365"
"B65: Conveying","US20090071850"
"B65: Conveying","US20030201316"
"A21: Baking","EP2417855"
"B26: Hand Cutting Tools","WO1997027031"
"B65: Conveying","US08770466"
"B65: Conveying","WO2003029108"
"B65: Conveying","EP1298073"
"A21: Baking","US20060102167"
"B65: Conveying","CA2133419"
"A21: Baking","US5112208"
"B65: Conveying","US5209392"
"A21: Baking","US4251549"
"B65: Conveying","US4979667"
"B65: Conveying","US08025207"
"A21: Baking","EP1219174"
"B65: Conveying","US20030062406"
"B65: Conveying","US20120308702"
"B65: Conveying","US6016951"
"G06: Computing","US20140095311"
"A21: Baking","US4464405"
"B65: Conveying","WO1993019989"
"B65: Conveying","US5234158"
"A21: Baking","CA2700813"
"A21: Baking","CA2339696"
"A21: Baking","WO2012146999"
"A21: Baking","EP1388286"
"A21: Baking","US5962050"
"A21: Baking","US6156364"
"B65: Conveying","US6375066"
"A21: Baking","US4303677"
"B65: Conveying","US20080193058"
"B60: Vehicles In General","US5102080"
"A47: Furniture","US6414278"
"A21: Baking","US20110256280"
"A21: Baking","EP1454529"
"A21: Baking","US20140373734"
"B65: Conveying","EP1534596"
"B65: Conveying","US20010032874"
"A21: Baking","WO2000007448"
"A47: Furniture","WO2013118095"
"B65: Conveying","WO2003089315"
"A47: Furniture","EP0740636"
"A21: Baking","US20030049353"
"A21: Baking","US20030096039"
"B65: Conveying","US5918797"
"A21: Baking","EP1364606"
"A21: Baking","EP0861593"
"A21: Baking","EP1543724"
"B65: Conveying","US20050218202"
"B65: Conveying","US20080197177"
"A21: Baking","US20050175743"
"A21: Baking","EP1425970"
"B65: Conveying","US4360107"
"B65: Conveying","US4886179"
"A47: Furniture","WO1995020535"
"B65: Conveying","US20040247208"
"A21: Baking","WO2006037832"
"B26: Hand Cutting Tools","US20080289189"
"A21: Baking","EP1005794"
"B65: Conveying","EP2261143"
"A23: Foods Or Foodstuffs","US20100124596"
"A21: Baking","KR1020010067590"
"A21: Baking","US6242027"
"H05: Electric Techniques Not Otherwise Provided For","US20010019051"
"B65: Conveying","US20090057381"
"G07: Checking","KR101326617"
"B65: Conveying","US5961035"
"A21: Baking","EP1767865"
"B65: Conveying","US20140191022"
"A21: Baking","EP1825755"
"B65: Conveying","EP2094587"
"B65: Conveying","EP2429923"
"B65: Conveying","US20070284422"
"B65: Conveying","US5385292"
"A23: Foods Or Foodstuffs","US20100092619"
"A21: Baking","US20040047961"
"A21: Baking","US4500276"
"A21: Baking","US4539213"
"A21: Baking","US4276465"
"A21: Baking","KR1020020061099"
"B31: Making Paper Articles","US20120325841"
"A21: Baking","KR1020130117993"
"A21: Baking","JP11243846"
"A21: Baking","CN102630714"
"F24: Heating","US20100147281"
"A21: Baking","WO2009138281"
"A21: Baking","WO2010140894"
"A21: Baking","EP1129621"
"A21: Baking","KR1020100058878"
"G07: Checking","CA2260131"
"A47: Furniture","US6095036"
"A21: Baking","JP2002034524"
"A21: Baking","KR1020010069832"
"A21: Baking","US4145990"
"A21: Baking","US5445674"
"A21: Baking","PT1238588"
"B65: Conveying","US20040222277"
"B65: Conveying","US20050103832"
"A47: Furniture","US20090020111"
"A21: Baking","EP2279665"
"A21: Baking","EP2493319"
"A21: Baking","US4173823"
"G07: Checking","WO1998052166"
"A21: Baking","WO2008142660"
"A21: Baking","JP2000201616"
"H01: Basic Electric Elements","US5464953"
"A21: Baking","US3861576"
"A21: Baking","US3735692"
"A21: Baking","WO2012128429"
"B65: Conveying","US20120325842"
"A47: Furniture","US6257434"
"B65: Conveying","US5535940"
"A21: Baking","JP2000201656"
"A21: Baking","US3788030"
"A21: Baking","EP2164334"
"A47: Furniture","KR1020030008175"
"A21: Baking","KR1020000018180"
"B65: Conveying","WO2007095227"
"G07: Checking","KR1020010058040"
"B31: Making Paper Articles","US4441626"
"B65: Conveying","US5076434"
"A21: Baking","US3648596"
"A21: Baking","EP1145635"
"A21: Baking","US3879564"
"A47: Furniture","US4058214"
"B65: Conveying","US20070187473"
"A47: Furniture","KR1020050097180"
"A21: Baking","CA2342959"
"B65: Conveying","CA2641936"
"A47: Furniture","CA2256697"
"F24: Heating","WO2014176285"
"A47: Furniture","US4218979"
"A21: Baking","EP0532786"
"A21: Baking","CA2051994"
"A47: Furniture","EP0910053"
"A21: Baking","JP2003259796"
"A21: Baking","JP2009060884"
"A47: Furniture","US20140251160"
"B65: Conveying","US20120325840"
"B65: Conveying","WO1992012903"
"A21: Baking","JP11046663"
"B65: Conveying","US20080006679"
"A21: Baking","JP10075709"
"A21: Baking","DE000019826114"
"B65: Conveying","EP2495182"
"A23: Foods Or Foodstuffs","JP2003180308"
"G07: Checking","KR1020110066374"
"B31: Making Paper Articles","CA2100963"
"A21: Baking","KR1020000072882"
"A47: Furniture","US3721803"
"B65: Conveying","US5071062"
"A21: Baking","KR1020060062230"
"A21: Baking","US3631818"
"B65: Conveying","WO2014178804"
"A21: Baking","US3860990"
"G07: Checking","KR100156724"
"A21: Baking","CA1082518"
"G07: Checking","WO2000046766"
"A21: Baking","KR1020100058881"
"A21: Baking","US20040156963"
"B65: Conveying","KR1020070118860"
"A21: Baking","EP0687413"
"A21: Baking","WO2000011959"
"A21: Baking","KR1020010016032"
"G06: Computing","US20130222367"
"A21: Baking","EP2031979"
"A21: Baking","US3908584"
"A21: Baking","KR1020060062231"
"A21: Baking","JP11221005"
"A47: Furniture","US5077455"
"B65: Conveying","WO2007149441"
"A21: Baking","KR1020130099272"
"A21: Baking","JP10327739"
"A21: Baking","CN102595912"
"A21: Baking","EP1286594"
"A21: Baking","CN101427697"
"A47: Furniture","EP0471969"
"A23: Foods Or Foodstuffs","KR1020030082796"
"A63: Sports","US5173070"
"A21: Baking","JP2002119199"
"A21: Baking","KR101057503"
"A21: Baking","JP2007029010"
"B65: Conveying","KR1020070042593"
"A21: Baking","KR1020000012611"
"A21: Baking","WO1999044429"
"A21: Baking","US3765909"
"B65: Conveying","EP2094572"
"A23: Foods Or Foodstuffs","KR1020000017898"
"A21: Baking","WO2014047700"
"A21: Baking","JP2006262703"
"A21: Baking","JP2009005593"
"A21: Baking","WO2001087072"
"A47: Furniture","KR1020050095027"
"A21: Baking","KR1020120018482"
"B65: Conveying","US20050199687"
"B65: Conveying","US4201301"
"A21: Baking","KR1020010016033"
"A21: Baking","KR1020110068617"
"A21: Baking","US20050089603"
"A21: Baking","JP2000102340"
"A21: Baking","US4273496"
"A47: Furniture","US3814005"
"A21: Baking","JP2006304735"
"B65: Conveying","WO2003093117"
"A21: Baking","DE000003834167"
"G06: Computing","WO2014123338"
"A21: Baking","CA2191153"
"A21: Baking","KR1020090002715"
"A21: Baking","WO2008107915"
"G07: Checking","KR100153699"
"A21: Baking","KR1020010016044"
"A21: Baking","KR1020120018481"
"A21: Baking","CA2085889"
"A21: Baking","JP2006129814"
"A23: Foods Or Foodstuffs","JP2008043316"
"A21: Baking","KR1020130111726"
"A21: Baking","KR1020000017798"
"F24: Heating","KR1020070037174"
"A21: Baking","JP10066501"
"A21: Baking","EP0687143"
"A21: Baking","MXMXa2008013315"
"A21: Baking","WO1992000674"
"A47: Furniture","JP2006218143"
"A21: Baking","US20100143528"
"A21: Baking","US20030145742"
"B26: Hand Cutting Tools","US20130036882"
"A21: Baking","EP1282357"
"B65: Conveying","CA2387077"
"A21: Baking","US5004350"
"G07: Checking","CN102214373"
"G07: Checking","KR100156723"
"B65: Conveying","EP1274632"
"A21: Baking","KR1020000058262"
"A23: Foods Or Foodstuffs","KR1020000058263"
"A21: Baking","JP11206348"
"B65: Conveying","US20070045390"
"A21: Baking","JP10066500"
"F25: Refrigeration Or Cooling","KR1020050061825"
"B60: Vehicles In General","JP11099873"
"G07: Checking","KR1020060098153"
"A47: Furniture","US6024013"
"A21: Baking","US3877615"
"A21: Baking","DE000003834166"
"A21: Baking","KR1020040100350"
"A47: Furniture","DE000019607627"
