Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
Multi-tool kitchen utensil kit and container,TW200400805 (A),16/01/2004,MCGUYER CARTER Wâ€‚[US];  ROBBINS RODNEY Wâ€‚[US],ROBBINS IND INCâ€‚[US],A47J43/28; B26B5/00; B26B25/00,A47J43/28; A47J43/288; B26B5/00; B26B5/007; B26B25/005; A47J2043/0738,TW20030116692,20030619,US20020177699 20020620; US20020286691 20021101; US20030458461 20030610,,,,,,,,,,,,,,
Pizza packaging box,KR200403053 (Y1),07/12/2005,,,B65D85/36; B65D5/20; B65D85/36; B65D5/20,,KR20050027283U,20050922,KR20050027283U 20050922,,,,,,,,,,,,,,
PIZZA FAN MADE OF CERAMICS,KR200395972 (Y1),15/09/2005,,,A21B3/15; A21B5/03; A47J37/08; A47J37/10; A21B3/15; A21B5/03; A47J37/08; A47J37/10,,KR20050017615U,20050620,KR20050017615U 20050620,,,,,,,,,,,,,,
A Ceramic pizza pan,KR200390014 (Y1),18/07/2005,,,A47J36/04; A47J37/10; A47J36/04; A47J37/10,,KR20050011077U,20050421,KR20050011077U 20050421,,,,,,,,,,,,,,
PIZZA ROAST MACHINE OF A MOVEMENT TYPE,KR200385434 (Y1),27/05/2005,,,A47J37/08; A47J37/06; A47J37/08; A47J37/06,,KR20050006997U,20050316,KR20050006997U 20050316,,,,,,,,,,,,,,
Paper sheet for pizza having grip and perforated line,KR200383759 (Y1),09/05/2005,,,B65D85/36; B65D85/36,,KR20040037553U,20041231,KR20040037553U 20041231,,,,,,,,,,,,,,
A polygonal box for Pizza packing,KR200382932 (Y1),27/04/2005,,,B65D85/36; B65D5/36; B65D5/64; B65D85/36; B65D5/36; B65D5/64,,KR20050002910U,20050131,KR20050002910U 20050131,,,,,,,,,,,,,,
A box for Pizza packing,KR200382230 (Y1),18/04/2005,,,B65D85/36; B65D85/36,,KR20050001680U,20050119,KR20050001680U 20050119,,,,,,,,,,,,,,
PIZZA BOX,WO2005123545 (A1),29/12/2005,KUHN WAYNE Hâ€‚[US];  PIZZITOLA FRANKâ€‚[US],INT PAPER COâ€‚[US];  KUHN WAYNE Hâ€‚[US];  PIZZITOLA FRANKâ€‚[US],B65D5/00; B65D5/66; B65D85/36; B65D85/36; B65D5/00; B65D5/66,B65D5/6632; B65D5/008; B65D85/36; B65D2585/366; Y10S229/935; Y10S229/906; Y10S229/915; Y10S229/933,WO2005US20587,20050610,US20040865540 20040610,,,,,,,,,,,US2001032874 (A1); FR2363489 (A1); US2002130168 (A1),,,
DUAL TEMPERATURE PIZZA OVEN,WO2005051148 (A1),09/06/2005,FORKNER DONALDâ€‚[US],WISCO IND INCâ€‚[US];  FORKNER DONALDâ€‚[US],A47J37/06; A47J37/00,A47J37/0623; A47J37/0629; A47J37/0658,WO2004US39581,20041124,US20030524776P 20031125,,,,,,,,,,,US4924763 (A); US5277105 (A); US5454295 (A),,,
FACILITATING VENDING OF CUSTOMER-CONFIGURED PIZZA PREPARATION KITS,WO2005067439 (A2); WO2005067439 (A3),28/07/2005,SIMMONS DAVID ODELLâ€‚[US],SIMMONS DAVID ODELLâ€‚[US],G07F9/10; G07F11/24; G07F11/38; G07F11/70,G07F9/105; G07F11/24; G07F11/38; G07F11/70; G07F17/0078,WO2004US27684,20040826,US20040751143 20040102,,,,,,,,,,,US5309824 (A); US5210387 (A),,,
"DOUGH THAT BROWNS, RAISES AND FORMS AN OVEN TENDER BREAD CRUST UNDER THE INFLUENCE OF MICROWAVE INCIDENT ENERGY",WO2004095933 (A3); WO2004095933 (A2),11/11/2004,SADEK NAGWA ZAKIâ€‚[US];  INGELIN MARK Eâ€‚[US];  MORAD MOHAMED Mâ€‚[US],SCHWAN S FOOD MFG INCâ€‚[US];  SADEK NAGWA ZAKIâ€‚[US];  INGELIN MARK Eâ€‚[US];  MORAD MOHAMED Mâ€‚[US],A21D10/02; A21D13/00; A21D2/18; A21D2/36; A21D6/00; A21D10/02; A21D13/00,A21D13/007; A21D10/02,WO2004US10689,20040406,US20030423038 20030424,,,,,,,,,,,EP0627167 (A2); EP0147876 (A1); US4882463 (A); EP1249170 (A1); WO0019842 (A1); US3975552 (A); US5110614 (A); EP1238588 (A2); DE10221691 (A1),XP000884867; XP002262507,,
HOT FOOD VENDING MACHINE,WO2004086317 (A2); WO2004086317 (A3),07/10/2004,WARD GLENâ€‚[US],ABUDANZA INC;  WARD GLENâ€‚[US],G07F9/10; G07F,G07F9/105; G07F17/0078,WO2004US09423,20040324,US20030457427P 20030324,,,,,,,,,,,US4783582 (A); US6808083 (B2),,,
