Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
"METHOD TO MAKE ""METROVA PIZZA"" (PIZZA ONE-METER LONG)",UA62543 (U),25/08/2011,SEREDIUK TARAS LEONIDOVYCHâ€‚[UA];  SEREDIUK OKSANA IVANIVNAâ€‚[UA],SEREDIUK TARAS LEONIDOVYCHâ€‚[UA];  SEREDIUK OKSANA IVANIVNAâ€‚[UA],A21D8/00; A23P1/00,,UA20110007354U,20110610,UA20110007354U 20110610,,,,,,,,,,,,,,
METHOD FOR MAKING PIZZA,UA47666 (U),25/02/2010,KUBARA MYKHAILO MYKHAILOVYCHâ€‚[UA],MARKET LTD LIABILITY COMPANYâ€‚[UA],A21D8/00,,UA20070006667U,20070614,UA20070006667U 20070614,,,,,,,,,,,,,,
Machine cutter for pizza,TWM391841 (U),11/11/2010,CHEN WEI-CHINGâ€‚[TW];  CHANG CHE-WEIâ€‚[TW],UNIV YUANPEIâ€‚[TW],A21C15/04,,TW20090223014U,20091209,TW20090223014U 20091209,,,,,,,,,,,,,,
Inserting hole free pizza box,TWM375681 (U),11/03/2010,XIE SEN-FANGâ€‚[TW],TRI CAN CO LTDâ€‚[TW],B65D5/18,,TW20090219324U,20091020,TW20090219324U 20091020,,,,,,,,,,,,,,
PIZZA CUTTER,CA128201 (S),11/09/2009,,WKI HOLDING CO INCâ€‚[US],,,CA20080128201F,20081020,US20080306944F 20080418,,,,,,,,,,,,,,
"FAT COMPOSITIONS AND RELATED METHODS, INCLUDING SHORTENING PARTICLES AND SHORTENING COMPOSITIONS WITHOUT ADDED NON-INTERESTERIFIED HARDSTOCK FAT, AND RELATED PRODUCTS",CA2835102 (A1),15/11/2012,SEIBOLD JON Dâ€‚[US];  ERICKSON BRADEN Jâ€‚[US];  OPPENHEIMER ALAN Aâ€‚[US],GEN MILLS INCâ€‚[US],A23D9/00; A21D10/00; A21D13/00,A23D7/003; A23D7/02; A23D7/04; A23D9/02; A23D9/04; A21D2/16; A21D13/0058; C11C3/10,CA20122835102,20120426,US201161483951P 20110509; WO2012US35143 20120426,,,,,,,,,,,,,,
SHORTENING PARTICLE COMPOSITIONS AND PRODUCTS MADE THEREFROM,CA2825521 (A1),09/08/2012,ERICKSON BRADEN Jâ€‚[US];  SEIBOLD JON Dâ€‚[US];  OPPENHEIMER ALAN Aâ€‚[US],GEN MILLS INCâ€‚[US],A23D9/00; A21D10/00; A23D9/05,A23D9/00; A23D9/04; A23D9/05; A21D2/16; A21D10/005,CA20122825521,20120126,US201113017942 20110131; WO2012US22688 20120126,,,,,,,,,,,,,,
METHOD AND APPARATUS FOR COOKING PIZZA,CA2816174 (A1),03/05/2012,GIORDANO GIUSEPPEâ€‚[IT],GIORDANO GIUSEPPEâ€‚[IT],A21D8/00; A21D13/00; A23B5/00,A21D8/06; A21D13/007; A21B3/13,CA20112816174,20111025,IT2010AL00029U 20101029; WO2011EP05359 20111025,,,,,,,,,,,,,,
EQUIPPED WITH LEARNING CAPABILITIES FLYERS,KR20120136741 (A),20/12/2012,KIM JIN WOOâ€‚[KR],KIM JIN WOOâ€‚[KR],G09F23/10; B42D15/00; G09B19/02,,KR20110055873,20110610,KR20110055873 20110610,,,,,,,,,,,,,,
STOVE FOR PIZZA ROASTED,KR20120136447 (A),20/12/2012,LEE JOO SEOKâ€‚[KR];  LEE SEUNG HOONâ€‚[KR],LEE JOO SEOKâ€‚[KR];  LEE SEUNG HOONâ€‚[KR],F24B1/182; A47J37/08,,KR20110055385,20110609,KR20110055385 20110609,,,,,,,,,,,,,,
TOMATO-DERIVED THICKENING AGENT.,MX2012012652 (A),21/11/2012,MAVROUDIS NIKOLAOSâ€‚[GB];  DUBBELMAN SANDER;  OLIEHOEK LEANDRO,UNILEVER NVâ€‚[NL],A23L1/05; A23L1/0524; A23L1/212; A23L1/24,A23L1/05; A23L1/0524; A23L1/2128; A23L1/243,MX20120012652,20121030,EP20100161702 20100503; WO2011EP56150 20110418,,,,,,,,,,,,,,
All-purpose knife for pizza,KR20120129273 (A),28/11/2012,,,B26B11/00; A21C15/04; B26B3/00; B26B25/00,,KR20110047427,20110519,KR20110047427 20110519,,,,,,,,,,,,,,
A PACKING BOX FOR FOOD,KR20120126584 (A),21/11/2012,,,B65D85/36; B65D5/26; B65D5/462; B65D21/02,,KR20110044483,20110512,KR20110044483 20110512,,,,,,,,,,,,,,
Pizza Box,KR200465505 (Y1); KR20120007840 (U),14/11/2012,,,B65D85/36; B65D5/22; B65D5/49; B65D5/66,,KR20110003918U,20110506,KR20110003918U 20110506,JPS631761U (U); KR200419658Y (Y1),,KR200351523Y (Y1); KR200402879Y (Y1),,,,,,,,,,,
Cheese rice,KR20120122836 (A),07/11/2012,,,A23L1/182; A23L1/10,,KR20110042122,20110429,KR20110042122 20110429,,,,,,,,,,,,,,
THE PIZZA DISPENSER,KR20120120863 (A),02/11/2012,,,B65D85/36; B65D5/20; B65D75/02,,KR20110038677,20110425,KR20110038677 20110425,,,,,,,,,,,,,,
Pizza baking rack,CN202619437 (U),26/12/2012,LI HONGBO,SUZHOU WEIRUIDA MACHINERY TECHNOLOGY CO LTD,A47J37/06,,CN20122289808U,20120620,CN20122289808U 20120620,,,,,,,,,,,,,,
Single-layer and double-layer switchable pizza baking frame,CN202619436 (U),26/12/2012,LI HONGBO,SUZHOU WEIRUIDA MACHINERY TECHNOLOGY CO LTD,A47J37/06,,CN20122289807U,20120620,CN20122289807U 20120620,,,,,,,,,,,,,,
"Pizza Box Stacker, Carrier and Dispenser",US2012325842 (A1),27/12/2012,RESTAINO RUSTY Aâ€‚[US],RESTAINO RUSTY Aâ€‚[US],B65G59/06; B65D83/00,B65D83/0864; B65D2583/0431,US201113213861,20110819,US201113213861 20110819; US201113166154 20110622,,,,,,,,,,,,,,
"Pizza Box Stacker, Carrier and Dispenser",US2012325841 (A1),27/12/2012,RESTAINO RUSTY Aâ€‚[US],RESTAINO RUSTY Aâ€‚[US],B65G59/06; B31B3/00; B65D83/00,B65D83/0864; B65D2583/0431,US201113166154,20110622,US201113166154 20110622,,,,,,,,,,,,,,
Invertible Dispenser for Pizza Boxes of Multiple Sizes,US2012325840 (A1),27/12/2012,RESTAINO RUSTY Aâ€‚[US],RESTAINO RUSTY Aâ€‚[US],B65G59/06; B65D83/00,B65D83/0858; B65D2583/0431,US201213454936,20120424,US201213454936 20120424; US201113166154 20110622,US593132 (A); US2819819 (A); US3156378 (A); US3164298 (A); US3278080 (A); US3599830 (A); US3786959 (A); US3809287 (A); US4109980 (A); US4170325 (A); US5295592 (A); US5328258 (A); US5407094 (A); US6000589 (A); US7287668 (B1); US2012018503 (A1); US2012012605 (A1),,,,,,,,,,,,,
DISPOSABLE PIZZA-BLOTTING COMPOSITE AND BOX ASSEMBLY INCLUDING SUCH COMPOSITE,US2012325834 (A1),27/12/2012,FARRELL BRADLEY HUNTERâ€‚[US];  STITZ JENNIFERâ€‚[US],FARRELL BRADLEY HUNTERâ€‚[US];  STITZ JENNIFERâ€‚[US],B65D90/00; B32B3/30; B32B5/02,B32B5/08; B32B7/02; B32B15/14; B65D81/264; B65D5/563; B32B2262/062; B32B2307/7163; B32B2307/726; B32B2307/7265; B32B2553/00; B65D2585/366; Y10T428/24612,US201113169927,20110627,US201113169927 20110627,,,,,,,,,,,,,,
EASILY DISPOSABLE MODULAR CONTAINER FOR PIZZA AND THE LIKE,PT2094572 (E),26/11/2012,VOLZ WILLIAMâ€‚[US];  WARE BRADY NEALâ€‚[US],VOLZ WILLIAMâ€‚[US];  WARE BRADY NEALâ€‚[US],B65D5/20; B65D5/355; B65D5/54,B65D5/5475; B65D2585/366,PT20070809674T,20070618,US20060814924P 20060619; US20060859331P 20061115,,,,,,,,,,,,,,
Novel pizza knife,CN202592394 (U),12/12/2012,CHEN SHANGYING,CHEN SHANGYING,B26B3/02,,CN20122270626U,20120606,CN20122270626U 20120606,,,,,,,,,,,,,,
Simple manual pressure pizza cutter,CN102814823 (A),12/12/2012,ZHANG XINHUA;  CHEN CONGCONG,UNIV SHAOXING,B26B3/02; B26B9/02,,CN20121326254,20120906,CN20121326254 20120906,,,,,,,,,,,,,,
CONVENIENT PIZZA,KR20120117258 (A),24/10/2012,KO DAE SUNâ€‚[KR],KO DAE SUNâ€‚[KR],A21D13/00; A21D15/08,,KR20110034908,20110415,KR20110034908 20110415,,,,,,,,,,,,,,
