Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
Improved warm food product distributor,TW200808187 (A),16/02/2008,BIANCHI MARCOâ€‚[IT],BIANCHI MARCOâ€‚[IT],A21C15/02; A21B5/02; A21D13/00,A21C15/007,TW20070119788,20070601,IT2006PI00061 20060601,,,,,,,,,,,,,,
EASILY DISPOSABLE MODULAR CONTAINER FOR PIZZA AND THE LIKE,CA2707462 (A1),27/12/2007,VOLZ WILLIAM Jâ€‚[US];  VOLZ WILLIAMâ€‚[US];  WARE BRADY NEALâ€‚[US],VOLZ WILLIAM Jâ€‚[US];  WARE BRADY NEALâ€‚[US],B65D5/20; B65D5/355; B65D5/54,B65D5/5475; B65D2585/366,CA20072707462,20070618,WO2007US14287 20070618; US20060814924P 20060619; US20060859331P 20061115,,,,,,,,,,,,,,
The pizza box where the handle is included and The re-assembly box,KR200433644 (Y1),12/12/2006,,,B65D5/36; B65D5/42; B65D5/46,,KR20060026519U,20060929,KR20060026519U 20060929,,,,,,,,,,,,,,
PIZZA PAN,KR200433286 (Y1),08/12/2006,,,A47J37/08; A47J36/02,,KR20060025310U,20060920,KR20060025310U 20060920,,,,,,,,,,,,,,
PIZZA PACKAGING BOX,KR200433228 (Y1),11/12/2006,,,B65D85/36; B65D5/54,,KR20060024374U,20060911,KR20060024374U 20060911,,,,,,,,,,,,,,
PIZZA BOX,KR200431897 (Y1),27/11/2006,,,B65D85/36; B65D5/42; B65D5/64,,KR20060023076U,20060828,KR20060023076U 20060828,,,,,,,,,,,,,,
The pizza roast machine structure,KR200430745 (Y1),10/11/2006,,,A47J36/04; A47J37/00,,KR20060012616U,20060511,KR20060012616U 20060511,,,,,,,,,,,,,,
The pizza case which prevents the fact that the bottom comes to be hot,KR200429121 (Y1),18/10/2006,,,B65D85/36; B65D81/38,,KR20060021089U,20060807,KR20060021089U 20060807,,,,,,,,,,,,,,
A SUPPORTING APPARATUS FOR PACKING OF PIZZA,KR200421613 (Y1),14/07/2006,,,B65D61/00; B65D85/36,,KR20060010651U,20060420,KR20060010651U 20060420,,,,,,,,,,,,,,
Shield of Pizza-Pan,KR200420730 (Y1),04/07/2006,,,A47J36/06,,KR20060010983U,20060424,KR20060010983U 20060424,,,,,,,,,,,,,,
