Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
PIZZA TRAY,CA93181 (S),24/08/2001,,SCHWAN S FOOD MFG INCâ€‚[US],,,CANDAT0093181F,0,CANDAT0093181F 00000000,,,,,,,,,,,,,,
COOKING METHOD OF GREEN-TEA ADDED PIZZA,KR20010107868 (A),07/12/2001,YOU YEN SILâ€‚[KR],YOU YEN SILâ€‚[KR],A21D13/00,,KR20010069326,20011105,KR20010069326 20011105,,,,,,,,,,,,,,
METHOD FOR COOKING A PIZZA,CA2731260 (A1); CA2731260 (C),14/09/2000,HEDRINGTON JAMES ALANâ€‚[US];  DRESSEL BRENT WILLIAMâ€‚[US],NAT PRESTO INDâ€‚[US],A23L1/01; A21B1/00; A47J37/04; A47J37/06,A47J37/0611; A47J37/043,CA20002731260,20000310,US19990267981 19990312; CA20002363329 20000310,,,,,,,,,,,,,,
Pizza preparation and delivery method and unit,US2002048624 (A1); US6858243 (B2),25/04/2002,BLANCHET JEANâ€‚[FR];  CATHELIN HERVEâ€‚[FR];  HEBERT CHRISTIANâ€‚[FR];  NOUYRIT OLIVIERâ€‚[FR],NESTEC SAâ€‚[US],A23L1/48; A21B1/00; A21D8/00; A21D13/00; A21D15/02; B60P3/025; B60P3/14; A23L1/00; A21D13/00,A21D13/007; A21B1/00; A21D8/00; A21D15/02; B60P3/0257; B60P3/14,US20010982377,20011018,EP20000122736 20001018,US3879564 (A); US4164591 (A); US4919477 (A); US5256432 (A),,,,,,,,US4361227 (A); US4791861 (A); JPH09299017 (A),,,,,
Method of making laminated pizza crust,US6126977 (A),03/10/2000,BUBAR RONALD Oâ€‚[US],PAULUCCI JENO Fâ€‚[US],A21C3/02; A21C11/00; A21D8/00; A21D8/02; A21D13/00; A21D13/08; A21D13/00,A21D13/0061; A21C3/02; A21C11/004; A21D8/02; A21D13/007,US19970968900,19971106,US19970968900 19971106; US19950496894 19950630,US628449 (A); US969173 (A); US1174826 (A); US1179294 (A); US1646921 (A); US2089396 (A); US2509035 (A); US2668767 (A); US3143424 (A); US3235390 (A); US3677769 (A); US3845219 (A); US3880069 (A); US4020184 (A); US4205091 (A); US4283424 (A); US4283431 (A); US4308286 (A); US4313961 (A); US4416910 (A); US4463020 (A); US4551337 (A); US4574090 (A); US4626188 (A); US4645673 (A); US4661361 (A); US4696823 (A); US4753813 (A); US4842882 (A); US4907501 (A); US5104669 (A); US5180603 (A); US5182123 (A); US5194273 (A); US5196223 (A); US5268188 (A); US5348751 (A); US5405626 (A); US5417150 (A); US5417996 (A); US5529799 (A); US5560946 (A); DE3704192 (A1); GB2241863 (A),,,,,,,,,,,,,
"Container for transporting heated food, particularly pizza and the like",US2002040862 (A1); US6601758 (B2),11/04/2002,LIZZIO FILIPPOâ€‚[IT],TERMOPIZZA SRLâ€‚[US],B65D77/04; B65D81/26; B65D85/36; B65D85/36; B65D5/50,B65D77/0433; B65D81/262; B65D81/263; B65D85/36; B65D2585/366; Y10S229/906; Y10S229/902,US20010963393,20010927,IT2000TO00900 20000928; IT2001TO00008U 20010119,US3026209 (A); US3515331 (A); US4197940 (A); US4441626 (A); US4883195 (A); US5052559 (A); US5385292 (A); US5445286 (A); US5482724 (A); US5588587 (A); US5895698 (A); EP0989067 (A1),,,,,,,,,,,,,
Method of configuring a slice of a pizza-type pie and an apparatus for preparing a pizza-type pie,US2002090422 (A1),11/07/2002,DERAUD MARKâ€‚[US];  GAMBEL ADAMâ€‚[US],"DERAUD MARK, ; GAMBEL ADAM",A21C9/04; A21C15/00; A21D8/00; A21D13/00; A23G3/00,A21D13/007; A21C9/04; A21C15/00; A21D8/00,US20010954491,20010911,US20010954491 20010911; US20000231803P 20000911,,,,,,,,,,,,,,
Box games and activities,US2002182972 (A1); US6755711 (B2),05/12/2002,MCCLUNG KAREN THERESEâ€‚[US];  MCCLUNG SARAH THERESEâ€‚[US];  MCCLUNG ELIZABETH MARIEâ€‚[US];  MCCLUNG JOHN MICHAELâ€‚[US];  MCCLUNG GUY LAMONTEâ€‚[US];  MCCLUNG GUY LAMONTâ€‚[US],"MCCLUNG KAREN THERESE, ; MCCLUNG SARAH THERESE, ; MCCLUNG ELIZABETH MARIE, ; MCCLUNG JOHN MICHAEL, ; MCCLUNG GUY LAMONTE, ; MCCLUNG GUY LAMONT, ; MCCLUNG, IV GUY LAMONTE, ; MCCLUNG, III GUY LAMONT",A63B67/00; A63H33/18; A63H27/00,A63H33/18; A63B67/00; B65D81/36,US20010953094,20010914,US20010953094 20010914; US20010871170 20010531,US3100642 (A); US3207411 (A); US3440747 (A); US3480273 (A); US3837650 (A); US4319755 (A); US4648548 (A); US5014853 (A); US5110038 (A); US5280920 (A); US5333865 (A); US5470235 (A); US6244598 (B1); GB2250212 (A),,,,,,,,US669617 (A); US1029069 (A); US1518981 (A); US2032531 (A); US2083000 (A); US2134971 (A); US2197451 (A); US2636312 (A); US2744355 (A); US3155392 (A); US3233356 (A); USD209526S (S); US3359678 (A); US3971156 (A); US4087576 (A); US4112612 (A); USD253659S (S); US4207702 (A); US4891482 (A); US4919083 (A); US4919326 (A); US5020808 (A); US5173070 (A); US5222657 (A); US5246161 (A); US5358440 (A); US5480334 (A); US5531624 (A); US5540610 (A); US5553327 (A); US5586716 (A); US5595339 (A); US5655944 (A); US5657562 (A); USD388134S (S); US5702054 (A); US5713509 (A); US5833130 (A); US6016951 (A); USD420583S (S); US6022260 (A); US6065669 (A); US6068114 (A); US6120344 (A); US6136400 (A); US6206277 (B1),,,,,
Method and user interface for specifying toppings and their placement on a pizza,US6801228 (B2); US2002077912 (A1),20/06/2002,KARGMAN JAMES Bâ€‚[US],"KARGMAN JAMES B, ; IPDEV CO",G06Q30/00; G07F9/02; G07F9/10; G06F17/60,G06Q30/06; G06Q30/0621; G06Q50/12; G07F9/02; G07F9/105; G07F17/0078,US20010949389,20010907,US20010949389 20010907; US20000230680P 20000907,US5687331 (A); US5832446 (A); US6002395 (A); US6087927 (A); US6553386 (B1); US6585516 (B1); US2002055878 (A1); US2003046700 (A1),,,,,,,,,,,,,
Machine for flattening pastry or dough,US6048191 (A),11/04/2000,BELTRAMI LAUROâ€‚[IT],"BELTRAMI, LAURO",A21C11/00; A21C11/00; B30B7/00,A21C11/006,US19970913427,19970916,IT1995MO00042 19950320; WO1995IT00147 19950907,US4696823 (A); US5074778 (A); US5176922 (A); US5204125 (A); EP0463221 (A1); EP0532786 (A1); GB466881 (A),,,,,,,,,,,,,
