applicants_orgs_all,publication_number,applicants_orgs_all_1
Korea Food Development Institute,KR1020040016233,Korea Food Development Institute
"Pizza Hut, Inc",KR1020010108367,"Pizza Hut, Inc"
"Halim & Co., Ltd",KR1020020053283,"Halim & Co., Ltd"
"Chunsun University Co., Ltd",KR1020050031740,"Chunsun University Co., Ltd"
Seda S.P.A,EP2627567,Seda S.P.A
Huiyang Allan Plastic & Electric Ind Co Ltd,EP2762004,Huiyang Allan Plastic & Electric Ind Co Ltd
Novo Nordisk A/S,WO1999062343,Novo Nordisk A/S
University-Industry Cooperation Group Of Kyung Hee University,WO2011065657,University-Industry Cooperation Group Of Kyung Hee University
"Griffith Laboratories Worldwide, Inc",US6288179,"Griffith Laboratories Worldwide, Inc"
Caravan Ingredients Inc,CA2801290,Caravan Ingredients Inc
"E-Deliveryexperts.Com, Inc",WO2001071631,"E-Deliveryexperts.Com, Inc"
New Life Hold S.R.L,WO2010061412,New Life Hold S.R.L
Leprino Foods Company,US20090117228,Leprino Foods Company
"Lancer Partnership, Ltd",WO2004099001,"Lancer Partnership, Ltd"
Brandeis University,WO2008055250,Brandeis University
"Advanced Flexible Composites, Inc",WO2011163288,"Advanced Flexible Composites, Inc"
"Solae, Llc",WO2006132909,"Solae, Llc"
"Gics & Vermee, L.P",US5484984,"Gics & Vermee, L.P"
Tuterri Inc,US5124168,Tuterri Inc
Rhone-Poulenc Inc,EP0699392,Rhone-Poulenc Inc
Puratos NV,WO2004040984,Puratos NV
ICL Performance Products Lp,WO2012166854,ICL Performance Products Lp
"E.P.C. (Beijing) Plant Pharmaceutical Technology Co., Ltd",WO2012025828,"E.P.C. (Beijing) Plant Pharmaceutical Technology Co., Ltd"
"Cargill, Incorporated",US20020098276,"Cargill, Incorporated"
A.S.I. Agenzia Spaziale Italiana,US20140165461,A.S.I. Agenzia Spaziale Italiana
Novozymes A/S,US20020136799,Novozymes A/S
Balchem Corporation,WO2003077661,Balchem Corporation
Drogheria E Alimentari S R L,US20070281063,Drogheria E Alimentari S R L
Nestec,WO2003020043,Nestec
Tate & Lyle Ingredients Americas Llc,WO2009079268,Tate & Lyle Ingredients Americas Llc
Firmenich Sa,US20140106046,Firmenich Sa
The Pillsbury Company,WO1992001384,The Pillsbury Company
"Visionary Design, Inc",US6428838,"Visionary Design, Inc"
The Procter & Gamble Company,US20050003056,The Procter & Gamble Company
Hoshizaki Electric Co Ltd,JP2003153758,Hoshizaki Electric Co Ltd
Haier Group,CN101063585,Haier Group
Mitsubishi Materials Corp,JP10277849,Mitsubishi Materials Corp
Gerard Schlienger Investisseme,CN1662144,Gerard Schlienger Investisseme
Toppan Printing Co Ltd,JP2005082197,Toppan Printing Co Ltd
Carrozzeria Japan Co Ltd,JP2000318768,Carrozzeria Japan Co Ltd
Fonterra Co-Operative Group Limited,CA2693762,Fonterra Co-Operative Group Limited
Astaris Llc,EP1100338,Astaris Llc
Balchem Corporation,CA2529088,Balchem Corporation
"Kraft Foods Holdings, Inc",CA2532942,"Kraft Foods Holdings, Inc"
Novartis Vaccines & Diagnostic,EP2272531,Novartis Vaccines & Diagnostic
"Applica Consumer Products, Inc",US20050173400,"Applica Consumer Products, Inc"
"Conagra Foods Food Ingredients Company, Inc",US20050136174,"Conagra Foods Food Ingredients Company, Inc"
"Lucca Foods, Llc",WO2013043659,"Lucca Foods, Llc"
The Pillsbury Company,US6042852,The Pillsbury Company
Danisco A/S,US20110052769,Danisco A/S
Chr. Hansen A/S,WO2005104859,Chr. Hansen A/S
Pl Group Ltd,IL179148,Pl Group Ltd
"Frito-Lay North America, Inc",WO2013028617,"Frito-Lay North America, Inc"
Cerestar Holding Bv,WO2004084640,Cerestar Holding Bv
Hindustan Lever Limited,WO2004017760,Hindustan Lever Limited
Puratos NV,WO2003084334,Puratos NV
Martek Biosciences Corporation,WO2007005727,Martek Biosciences Corporation
The Carter Group Llc D/B/A Bottle Rocket,US20150026728,The Carter Group Llc D/B/A Bottle Rocket
Delavau L.L.C,US20070048406,Delavau L.L.C
Bakery Technology Centre Bv,US20090204552,Bakery Technology Centre Bv
Bakery Technology Centre Bv,US20130173502,Bakery Technology Centre Bv
The Nutrasweet Company,WO1991003947,The Nutrasweet Company
The Andenello Company Llc,WO1998054955,The Andenello Company Llc
Tecnoalimentica Ltda,WO2002085136,Tecnoalimentica Ltda
The Procter & Gamble Company,WO2005002360,The Procter & Gamble Company
Keebler Company,WO2000059309,Keebler Company
"Gics & Vermee, L.P",WO1995024110,"Gics & Vermee, L.P"
Hayashibara Biochem Lab,EP1481590,Hayashibara Biochem Lab
"Griffith Laboratories Worldwide, Inc",CA2117991,"Griffith Laboratories Worldwide, Inc"
"Monosol, Llc",WO2009018503,"Monosol, Llc"
"Conagra Foods Food Ingredients Company, Inc",US20070104855,"Conagra Foods Food Ingredients Company, Inc"
Leprino Foods Company,WO2009061571,Leprino Foods Company
"Kraft Foods Holdings, Inc",US20060088634,"Kraft Foods Holdings, Inc"
"Gics & Vermee, L.P",US5543606,"Gics & Vermee, L.P"
Tuterri Inc,WO1992014370,Tuterri Inc
Rhodia Inc,US6080441,Rhodia Inc
The Texas A & M University System,US20090117255,The Texas A & M University System
Novartis Ag,EP2586790,Novartis Ag
General Electric Company,US20080135539,General Electric Company
Empire Technology Development Llc,WO2014171944,Empire Technology Development Llc
Empire Technology Development Llc,WO2014193337,Empire Technology Development Llc
NCL Corporation Ltd,CA2679935,NCL Corporation Ltd
Unilever Plc,EP0315452,Unilever Plc
Nestec,WO2012076055,Nestec
Slk Foundation,WO2004032647,Slk Foundation
"Cargill, Incorporated",US20090098270,"Cargill, Incorporated"
Chr. Hansen A/S,WO2005003327,Chr. Hansen A/S
"Cargill, Incorporated",EP1608236,"Cargill, Incorporated"
Delavau L.L.C,CA2553796,Delavau L.L.C
Mibaplast Ltd,EP1712481,Mibaplast Ltd
Caravan Ingredients Inc,US20110300265,Caravan Ingredients Inc
Brandeis University,US08460738,Brandeis University
Fonterra Co-Operative Group Limited,WO2003047358,Fonterra Co-Operative Group Limited
"General Mills, Inc",CA2762824,"General Mills, Inc"
"Conagra Foods, Inc",WO2005058044,"Conagra Foods, Inc"
Danisco Usa Inc,US20070292563,Danisco Usa Inc
"Nabisco Brands, Inc",US4904488,"Nabisco Brands, Inc"
Firmenich Sa,WO2013000673,Firmenich Sa
The Pillsbury Company,WO1998051159,The Pillsbury Company
Danisco A/S,WO2008110531,Danisco A/S
Canon Kabushiki Kaisha,WO2002019263,Canon Kabushiki Kaisha
A.S.I. Agenzia Spaziale Italiana,WO2013014606,A.S.I. Agenzia Spaziale Italiana
The Carter Group Llc D/B/A Bottle Rocket,WO2015010120,The Carter Group Llc D/B/A Bottle Rocket
"Mighty Oats, Inc",WO2006121724,"Mighty Oats, Inc"
The Pillsbury Company,US5194271,The Pillsbury Company
Matsushita Electric Ind Co Ltd,JP2003169755,Matsushita Electric Ind Co Ltd
Rheon Autom Mach Co Ltd,JP10052216,Rheon Autom Mach Co Ltd
Kao Corp,JP10075721,Kao Corp
"Pizza Hut, Inc",CN1359461,"Pizza Hut, Inc"
Rheon Autom Mach Co Ltd,JP2007060936,Rheon Autom Mach Co Ltd
"Silberline Manufacturing Co., Inc",JP2006289076,"Silberline Manufacturing Co., Inc"
Matsushita Electric Ind Co Ltd,JP2003111551,Matsushita Electric Ind Co Ltd
Sanei Gen Ffi Inc,JP2010142181,Sanei Gen Ffi Inc
Nisshin Flour Milling Inc,JP2006025657,Nisshin Flour Milling Inc
Kirin Kyowa Foods Co Ltd,JP2010022322,Kirin Kyowa Foods Co Ltd
"Sanyo Electric Co., Ltd",CN1550720,"Sanyo Electric Co., Ltd"
Matsushita Electric Ind Co Ltd,JP2000337642,Matsushita Electric Ind Co Ltd
Matsushita Electric Ind Co Ltd,JP2000164340,Matsushita Electric Ind Co Ltd
"Newer Grand Co., Ltd",CN102892343,"Newer Grand Co., Ltd"
Toppan Printing Co Ltd,JP2004227373,Toppan Printing Co Ltd
Sanei Gen Ffi Inc,JP2011024529,Sanei Gen Ffi Inc
Washi Kosan Co Ltd,JP2005013006,Washi Kosan Co Ltd
"Fujian Nanhai Food Co., Ltd",CN103750181,"Fujian Nanhai Food Co., Ltd"
"Kraft Foods Holdings, Inc",WO2006047465,"Kraft Foods Holdings, Inc"
Choco Finesse Llc,WO2013192436,Choco Finesse Llc
Applesweets Llc,WO2007002768,Applesweets Llc
Nutraceuticals Limited,WO2008075062,Nutraceuticals Limited
Nestec,WO2003015525,Nestec
Puratos NV,WO2008129040,Puratos NV
Fonterra Co-Operative Group Limited,US20100196534,Fonterra Co-Operative Group Limited
Caravan Ingredients Inc,WO2011156010,Caravan Ingredients Inc
Firmenich Sa,WO2014095564,Firmenich Sa
The Texas A & M University System,WO2009035651,The Texas A & M University System
Brandeis University,WO2012151387,Brandeis University
"Solae, Llc",WO2007050328,"Solae, Llc"
"General Mills, Inc",US5362504,"General Mills, Inc"
Balchem Corporation,US20040121002,Balchem Corporation
"Kraft Foods Holdings, Inc",US20060159806,"Kraft Foods Holdings, Inc"
Vodafone Plc,CN1802867,Vodafone Plc
Frisco Findus Ag,EP0463221,Frisco Findus Ag
Frisco Findus Ag,CA2043452,Frisco Findus Ag
Delavau L.L.C,CA2612086,Delavau L.L.C
Thermoceramix Inc,WO2009135148,Thermoceramix Inc
Automation International Corporation,US4003688,Automation International Corporation
Danisco A/S,EP1594374,Danisco A/S
Brandeis University,US20070054028,Brandeis University
Technology Advancement Labs Llc,US20070259090,Technology Advancement Labs Llc
Tate & Lyle Ingredients Americas Llc,US20100021751,Tate & Lyle Ingredients Americas Llc
"Cookek Induction Systems, Llc, A Division Of Middleby Corporation",US20110089162,"Cookek Induction Systems, Llc, A Division Of Middleby Corporation"
"Vsl Pharmaceuticals, Inc",CA2600360,"Vsl Pharmaceuticals, Inc"
Brandeis University,CA2621465,Brandeis University
Danisco A/S,CA2512893,Danisco A/S
"Vsl Pharmaceuticals, Inc",US20080131556,"Vsl Pharmaceuticals, Inc"
The Pillsbury Company,US5554225,The Pillsbury Company
Siemens Aktiengesellschaft,WO2005027545,Siemens Aktiengesellschaft
Danisco A/S,WO2005096838,Danisco A/S
"Graphic Packaging International, Inc",EP1480879,"Graphic Packaging International, Inc"
Danisco A/S,WO2007144433,Danisco A/S
"General Mills, Inc",WO2004093548,"General Mills, Inc"
Thermal Process Engineering Company,US3646880,Thermal Process Engineering Company
"Mettler-Toledo, Inc",US20080245579,"Mettler-Toledo, Inc"
"Ez Notice, Llc",US20020188571,"Ez Notice, Llc"
T A S R L Tecnologie Alimentar,EP0482245,T A S R L Tecnologie Alimentar
Menue Express Vertriebs Gmbh,EP0482473,Menue Express Vertriebs Gmbh
4P Nicolaus Kempten Gmbh,EP0071774,4P Nicolaus Kempten Gmbh
Microsoft Corporation,MXPA2005010226,Microsoft Corporation
"Sargento Foods, Inc",MXA2007009111,"Sargento Foods, Inc"
Starstatus Trading Internacional Lda,EA200701088,Starstatus Trading Internacional Lda
Daewoo Electronics Corporation,KR100142490,Daewoo Electronics Corporation
Industry Academic Cooperation Foundation Keimyung University,KR100718490,Industry Academic Cooperation Foundation Keimyung University
Korea Food Development Institute,KR1020000009635,Korea Food Development Institute
Av Beatiful World,KR1020050027229,Av Beatiful World
"Chunsun University Co., Ltd",KR1020050031742,"Chunsun University Co., Ltd"
Kabushiki Kaisha Toshiba,KR1020060132473,Kabushiki Kaisha Toshiba
"Mirae Internet Co., Ltd",KR1020010091345,"Mirae Internet Co., Ltd"
Nestec,US5520100,Nestec
Eco-Pack Marketing Uk Limited,WO2008020214,Eco-Pack Marketing Uk Limited
Daewoo Electronics Corporation,EP1545160,Daewoo Electronics Corporation
"Quadlux, Inc",EP0416030,"Quadlux, Inc"
Fonterra Co-Operative Group Limited,WO2009011598,Fonterra Co-Operative Group Limited
Balchem Corporation,WO2004060074,Balchem Corporation
Redpoint Bio Corporation,CA2612542,Redpoint Bio Corporation
Kerry Ingredients (Uk) Limited,WO1998042214,Kerry Ingredients (Uk) Limited
Comas Spa,EP1188379,Comas Spa
"Solazyme, Inc",CA2758479,"Solazyme, Inc"
"General Mills, Inc",US20100310728,"General Mills, Inc"
Empire Technology Development Llc,WO2014209369,Empire Technology Development Llc
Pl Group Ltd,WO2006033100,Pl Group Ltd
Fritson Ag,WO2004009468,Fritson Ag
"Graphic Packaging International, Inc",CA2814255,"Graphic Packaging International, Inc"
Societe Des Produits Nestle S.A,CA2013612,Societe Des Produits Nestle S.A
"Professor Connors, Inc",WO2009003118,"Professor Connors, Inc"
"Mgp Ingredients, Inc",CA2532285,"Mgp Ingredients, Inc"
Daewoo Electronics Corporation,US20050133499,Daewoo Electronics Corporation
Daewoo Electronics Corporation,US20060081623,Daewoo Electronics Corporation
Bilwinco AS,EP1392121,Bilwinco AS
"Ordercatcher, Llc",CA2702215,"Ordercatcher, Llc"
"Nabisco Brands, Inc",EP0256791,"Nabisco Brands, Inc"
"Murex Securities, Ltd",US6570975,"Murex Securities, Ltd"
"General Mills, Inc",WO2010141821,"General Mills, Inc"
Danisco A/S,US20040146609,Danisco A/S
"The Sloan Company, Inc. Dba Sloanled",US20130182440,"The Sloan Company, Inc. Dba Sloanled"
Commonwealth Scientific And Industrial Research Organisation,WO2012103594,Commonwealth Scientific And Industrial Research Organisation
Unilever Plc,EP0240071,Unilever Plc
The Coca-Cola Company,CA2630141,The Coca-Cola Company
"Solae, Llc",WO2007050306,"Solae, Llc"
Brandeis University,WO2013166420,Brandeis University
Cmt Costr Mecc & Tec,EP1743518,Cmt Costr Mecc & Tec
NCL Corporation Ltd,WO2008109338,NCL Corporation Ltd
Delavau L.L.C,WO2005074477,Delavau L.L.C
Biohit Oy J,US20080166394,Biohit Oy J
G. S. Blodgett Corporation,EP0395306,G. S. Blodgett Corporation
"Kraft General Foods, Inc",CA2054671,"Kraft General Foods, Inc"
"Kraft Foods Holdings, Inc",US20020136814,"Kraft Foods Holdings, Inc"
Golden Valley Microwave Foods Inc,WO1990004516,Golden Valley Microwave Foods Inc
"Samsung Electronics Co., Ltd",KR1020040016744,"Samsung Electronics Co., Ltd"
Leprino Foods Company,EP0809441,Leprino Foods Company
Leprino Foods Company,US4894245,Leprino Foods Company
Leprino Foods Company,US5030470,Leprino Foods Company
"Dopaco, Inc",US6230917,"Dopaco, Inc"
"General Mills, Inc",WO1994000029,"General Mills, Inc"
"Remco Technologies, Inc",US6146677,"Remco Technologies, Inc"
Delavau L.L.C,WO2006138411,Delavau L.L.C
"The Sloan Company, Inc. Dba Sloanled",WO2014138295,"The Sloan Company, Inc. Dba Sloanled"
Leprino Foods Company,CA2213117,Leprino Foods Company
Redpoint Bio Corporation,US20060286275,Redpoint Bio Corporation
"Burning Bush Technologies, Llc",US20140234534,"Burning Bush Technologies, Llc"
"Bright Dairy Co.,Ltd",CN102687753,"Bright Dairy Co.,Ltd"
"Bright Dairy Co.,Ltd",CN102687757,"Bright Dairy Co.,Ltd"
Kobird Co Ltd,JP2006304769,Kobird Co Ltd
Toppan Printing Co Ltd,JP2006182373,Toppan Printing Co Ltd
Hunan University,CN101508597,Hunan University
Del Monte Corporation,JP2006333720,Del Monte Corporation
"Bright Dairy Co.,Ltd",CN102687756,"Bright Dairy Co.,Ltd"
Lion Corp,JP2000050825,Lion Corp
Osaka Kagaku Gokin Kk,JP2000041621,Osaka Kagaku Gokin Kk
Rheon Autom Mach Co Ltd,JP11243835,Rheon Autom Mach Co Ltd
Hong Kong Chuushikai:Kk,JP11225703,Hong Kong Chuushikai:Kk
Sanpack:Kk,JP2003221026,Sanpack:Kk
Four Seeds Corp,JP2002262761,Four Seeds Corp
Make Softwear:Kk,JP2001325465,Make Softwear:Kk
Fukui Craft:Kk,JP2000300415,Fukui Craft:Kk
Morinaga & Co Ltd,JP2000253823,Morinaga & Co Ltd
Hitachi Home Tec Ltd,JP10146280,Hitachi Home Tec Ltd
"Sanyo Electric Co., Ltd",JP2004340513,"Sanyo Electric Co., Ltd"
Itochu Plast Syst Kk,JP2001120424,Itochu Plast Syst Kk
Hitachi Systems & Services Ltd,JP2008146372,Hitachi Systems & Services Ltd
Miyoshi Oil & Fat Co Ltd,JP10042783,Miyoshi Oil & Fat Co Ltd
Kobird Co Ltd,CN1839697,Kobird Co Ltd
Mitsubishi Electric Corp,JP2006280441,Mitsubishi Electric Corp
Heishin Engineering & Equipment Co Ltd,JP2003080120,Heishin Engineering & Equipment Co Ltd
Ajinomoto Kk,JP2001299598,Ajinomoto Kk
Tokai Aluminum Foil Co Ltd,JP2006192744,Tokai Aluminum Foil Co Ltd
Microsoft Corporation,CN1760870,Microsoft Corporation
Toppan Printing Co Ltd,JP2006182376,Toppan Printing Co Ltd
"Kraft Foods Holdings, Inc",JP2005080667,"Kraft Foods Holdings, Inc"
Aqli Foods Corp,JP2005350079,Aqli Foods Corp
Nitto Seifun Kk,JP2002125578,Nitto Seifun Kk
NEC Corp,JP2002220119,NEC Corp
Kyuhan Kk,JP2009296957,Kyuhan Kk
Snow Brand Milk Prod Co Ltd,JP2000189043,Snow Brand Milk Prod Co Ltd
Terabondo:Kk,JP2011024966,Terabondo:Kk
Ueichi Kikaku:Kk,JP2005042525,Ueichi Kikaku:Kk
"Guangdong Elecpro Electric Appliance Co., Ltd",CN103462522,"Guangdong Elecpro Electric Appliance Co., Ltd"
"Schwan Sales Enterprises, Inc",EP0105582,"Schwan Sales Enterprises, Inc"
Patentsmith Corporation,EP0413605,Patentsmith Corporation
"The Slice Saver, Llc",US20140262920,"The Slice Saver, Llc"
"Cargill, Incorporated",CA2521229,"Cargill, Incorporated"
Novartis Vaccines & Diagnostic,EP2258717,Novartis Vaccines & Diagnostic
"Cooktek Induction Systems, Llc",WO2011046993,"Cooktek Induction Systems, Llc"
"Conagra Foods, Inc",WO2008103649,"Conagra Foods, Inc"
"Aurora Foods, Inc",WO2003024231,"Aurora Foods, Inc"
Actial Farmaceutica Lda,WO2006097415,Actial Farmaceutica Lda
Brandeis University,WO2007030570,Brandeis University
"Cargill, Incorporated",WO2015021025,"Cargill, Incorporated"
"Schwan Sales Enterprises, Inc",US6359272,"Schwan Sales Enterprises, Inc"
AT&T Corp,EP0872827,AT&T Corp
"Kraft Foods Holdings, Inc",CA2502132,"Kraft Foods Holdings, Inc"
Vodafone Plc,EP1411702,Vodafone Plc
AT&T Corp,CA2228917,AT&T Corp
NCR Corporation,US6868523,NCR Corporation
"The Sloan Company, Inc. Dba Sloanled",US20140268785,"The Sloan Company, Inc. Dba Sloanled"
"Quadlux, Inc",CA2175491,"Quadlux, Inc"
"Quadlux, Inc",CA2302416,"Quadlux, Inc"
Tricon Restaurants International,US6287619,Tricon Restaurants International
"Graphic Packaging International, Inc",US20050173425,"Graphic Packaging International, Inc"
Solutia Inc,CA2338481,Solutia Inc
"Burning Bush Technologies, Llc",WO2014130774,"Burning Bush Technologies, Llc"
Redpoint Bio Corporation,WO2007002015,Redpoint Bio Corporation
Energy Storage Technologies In,CA2401458,Energy Storage Technologies In
Energy Storage Technologies In,EP1291300,Energy Storage Technologies In
Firmenich Sa,WO2013000595,Firmenich Sa
"Solazyme, Inc",WO2010120923,"Solazyme, Inc"
"Fsk Consulting, Llc",WO2014172486,"Fsk Consulting, Llc"
Australian Capital Ventures Limited,CA2769311,Australian Capital Ventures Limited
The Pillsbury Company,EP0486051,The Pillsbury Company
Ericsson Inc,US6628770,Ericsson Inc
"Kraft Foods Holdings, Inc",CA2557267,"Kraft Foods Holdings, Inc"
"Lincoln Foodservice Products, Inc",EP0286759,"Lincoln Foodservice Products, Inc"
"Pizza Hut, Inc",US4912338,"Pizza Hut, Inc"
The Pillsbury Company,US5173580,The Pillsbury Company
Nestec,US5248512,Nestec
Middleby Corporation,CA2783217,Middleby Corporation
Middleby Corporation,CA2625621,Middleby Corporation
Unilever Plc,WO1995027409,Unilever Plc
"Little Caesar Enterprises, Inc",CA2759209,"Little Caesar Enterprises, Inc"
Novartis Vaccines & Diagnostic,EP2277595,Novartis Vaccines & Diagnostic
Encase Ltd,EP1593606,Encase Ltd
Nestle Sa,EP0451530,Nestle Sa
United Biscuits (Uk) Limited,WO1992020593,United Biscuits (Uk) Limited
"Ishida Co., Ltd",US6558721,"Ishida Co., Ltd"
The Coca-Cola Company,WO2007061898,The Coca-Cola Company
Ambiente E Nutrizione S R L,EP2696706,Ambiente E Nutrizione S R L
"Bright Dairy Co.,Ltd",CN102742664,"Bright Dairy Co.,Ltd"
Dainippon Printing Co Ltd,JP2004203458,Dainippon Printing Co Ltd
"The Sloan Company, Inc. Dba Sloanled",WO2014144311,"The Sloan Company, Inc. Dba Sloanled"
The Pillsbury Company,EP0558660,The Pillsbury Company
Cmt Costruzioni Meccaniche E Tecnologia S.P.A,US20070012197,Cmt Costruzioni Meccaniche E Tecnologia S.P.A
Microsoft Corporation,US20090234638,Microsoft Corporation
Newvoicemedia Limited,US20120140910,Newvoicemedia Limited
"Graphic Packaging International, Inc",WO2003066435,"Graphic Packaging International, Inc"
International Paper Company,CA2728204,International Paper Company
Swift & Company,US4038424,Swift & Company
Mobil Oil Corp,US3938726,Mobil Oil Corp
Rogar Capital Corporation,US20050184141,Rogar Capital Corporation
"Murex Securities, Ltd",US20020106069,"Murex Securities, Ltd"
"Little Caesar Enterprises, Inc",US4494689,"Little Caesar Enterprises, Inc"
"Lamb-Weston, Inc",US4487786,"Lamb-Weston, Inc"
Google Inc,US20130179306,Google Inc
Sensient Colors Inc,WO2008003069,Sensient Colors Inc
"Designer Snacks, Inc",US5238697,"Designer Snacks, Inc"
Biohit Oy J,WO2006103316,Biohit Oy J
Danisco A/S,WO2004066760,Danisco A/S
AT&T Corp,US20100161446,AT&T Corp
Beckett Industries Inc,EP0343006,Beckett Industries Inc
Exxonmobil Chemical Patents Inc,US20080106005,Exxonmobil Chemical Patents Inc
Atlantic Enterprises 2009 Limited,EP2436614,Atlantic Enterprises 2009 Limited
Unilever Plc,EP0254352,Unilever Plc
Artos S.A,CA2529477,Artos S.A
AT&T Corp,US20050131704,AT&T Corp
AT&T Corp,US08209184,AT&T Corp
Gat Formulation Gmbh,CA2550615,Gat Formulation Gmbh
Gorix Incorporated,WO2005103637,Gorix Incorporated
G. S. Blodgett Corporation,US4960977,G. S. Blodgett Corporation
Microsoft Corporation,US20070225903,Microsoft Corporation
Grupo Minsa S.A.B De C.V,US20130156891,Grupo Minsa S.A.B De C.V
"Anetsberger Brothers, Inc",US4395216,"Anetsberger Brothers, Inc"
Yahoo! Inc,US20080154856,Yahoo! Inc
Bilwinco AS,WO2002096205,Bilwinco AS
"Ordercatcher, Llc",WO2009048637,"Ordercatcher, Llc"
"H & M Food Systems Company, Inc",EP0550018,"H & M Food Systems Company, Inc"
Solutia Inc,US6149960,Solutia Inc
"Casio Computer Co., Ltd",CA2375613,"Casio Computer Co., Ltd"
Unilever Plc,EP0249260,Unilever Plc
Siemens Enterprise Communications Gmbh & Co. Kg,US20080215739,Siemens Enterprise Communications Gmbh & Co. Kg
Siemens Enterprise Communications Gmbh & Co. Kg,US20140046762,Siemens Enterprise Communications Gmbh & Co. Kg
Microsoft Corporation,US20110214174,Microsoft Corporation
Kraft Foods Global Brands Llc,CA2652204,Kraft Foods Global Brands Llc
"Cargill, Incorporated",WO2004086878,"Cargill, Incorporated"
Novartis Vaccines & Diagnostic,EP2298796,Novartis Vaccines & Diagnostic
"Mgp Ingredients, Inc",WO2005016010,"Mgp Ingredients, Inc"
"Moore Business Forms, Inc",CA2071380,"Moore Business Forms, Inc"
International Paper Company,CA2728288,International Paper Company
"Pizza Hut, Inc",US6194017,"Pizza Hut, Inc"
"Dominos Pizza Pmc, Inc",US20040020375,"Dominos Pizza Pmc, Inc"
"Dominos Pizza Pmc, Inc",US20040255795,"Dominos Pizza Pmc, Inc"
"Dominos Pizza Pmc, Inc",US20040194641,"Dominos Pizza Pmc, Inc"
"Designer Snacks, Inc",US5128166,"Designer Snacks, Inc"
Primus Gastronomiebetriebe Gmbh,US5676051,Primus Gastronomiebetriebe Gmbh
Patentsmith Corporation,US5078050,Patentsmith Corporation
Societe Des Produits Nestle S.A,IL130906,Societe Des Produits Nestle S.A
Inventec Corporation,US20060219782,Inventec Corporation
International Paper Company,CA2796298,International Paper Company
Int Paper Co,EP2558373,Int Paper Co
AT&T Corp,CA2293780,AT&T Corp
Google Inc,WO2013103727,Google Inc
AT&T Corp,US6078886,AT&T Corp
AT&T Corp,US20020091528,AT&T Corp
AT&T Corp,US6366886,AT&T Corp
AT&T Corp,US6856960,AT&T Corp
Google Inc,US20140053088,Google Inc
Loders Croklaan Bv,EP1080643,Loders Croklaan Bv
Craig J Venter Inst Inc,EP2278008,Craig J Venter Inst Inc
Fairmont Foods Company,US3963402,Fairmont Foods Company
Boise Cascade Corporation,US5669552,Boise Cascade Corporation
Koninklijke Philips Electronics N.V,US20020188634,Koninklijke Philips Electronics N.V
The Pillsbury Company,US4245581,The Pillsbury Company
International Paper Company,US4877932,International Paper Company
"Little Caesar Enterprises, Inc",US4913340,"Little Caesar Enterprises, Inc"
Westvaco Corporation,US4301960,Westvaco Corporation
The Pillsbury Company,US5259750,The Pillsbury Company
The Pillsbury Company,US5409367,The Pillsbury Company
Sprint Communications Company L.P,US08781968,Sprint Communications Company L.P
"Quadlux, Inc",US5786569,"Quadlux, Inc"
"Quadlux, Inc",US5695669,"Quadlux, Inc"
"Quadlux, Inc",US5712464,"Quadlux, Inc"
"Quadlux, Inc",US5736713,"Quadlux, Inc"
Leprino Foods Company,WO1996025051,Leprino Foods Company
Microsoft Corporation,WO2007120397,Microsoft Corporation
"Quadlux, Inc",EP0699373,"Quadlux, Inc"
Unilever Plc,EP0334568,Unilever Plc
Nestle Sa,EP1266581,Nestle Sa
Societe Des Produits Nestle S.A,CA2449905,Societe Des Produits Nestle S.A
E2Open Llc,CA2502612,E2Open Llc
Philips Electronics North America Corporation,US20020073416,Philips Electronics North America Corporation
"Kay Chemical, Inc",EP1373448,"Kay Chemical, Inc"
"Kay Chemical, Inc",CA2443308,"Kay Chemical, Inc"
Solutia Inc,WO2000004782,Solutia Inc
Thixo Ltd,CA2396071,Thixo Ltd
"Automatic Bar Controls, Inc",US20100095884,"Automatic Bar Controls, Inc"
"Automatic Bar Controls, Inc",US20100097881,"Automatic Bar Controls, Inc"
Australian Capital Ventures Limited,WO2011011833,Australian Capital Ventures Limited
"Regal Ware, Inc",US5463942,"Regal Ware, Inc"
Nestec,US20050230383,Nestec
Nestec,US20110226761,Nestec
Koransha Kk,EP0463180,Koransha Kk
Nestec,US5204125,Nestec
Techone Telekomunikasyon Iletisim Yazilim Danismanlik Ye Pazarlama Tic Ltd Sti,US20110233265,Techone Telekomunikasyon Iletisim Yazilim Danismanlik Ye Pazarlama Tic Ltd Sti
"Dominos Pizza Pmc, Inc",WO2004010792,"Dominos Pizza Pmc, Inc"
"Lincoln Foodservice Products, Inc",US4781169,"Lincoln Foodservice Products, Inc"
"Quadlux, Inc",US5665259,"Quadlux, Inc"
"Quadlux, Inc",US6011242,"Quadlux, Inc"
"Niro Atomizer, Inc",EP0412927,"Niro Atomizer, Inc"
Nestle Sa,EP0809446,Nestle Sa
Aac Trade Ltd,CA2588478,Aac Trade Ltd
Societe Des Produits Nestle S.A,CA2209765,Societe Des Produits Nestle S.A
Aac Trade Ltd,EP1911384,Aac Trade Ltd
Middleby Corporation,US20070012307,Middleby Corporation
Middleby Corporation,US20130008424,Middleby Corporation
Middleby Corporation,US20120073558,Middleby Corporation
"Little Caesar Enterprises, Inc",US20100274633,"Little Caesar Enterprises, Inc"
Refrattari Valoriani Srl,WO2013079985,Refrattari Valoriani Srl
Google Inc,WO2014028153,Google Inc
